datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       6,    3420,1,409000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    1314,  877892,0,0,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       6,    3420,1,382000000,0x0000,0
0000000000000007,       2,46:fe:e1:49:87:f8,       2,    1312,  821192,58,432000000,0x0000,1
0000000000000002,       2,fa:8f:99:2c:69:cd,       3,       6,    3420,11,471000000,0x0000,0
0000000000000002,       3,46:fe:e1:49:87:f8,       2,    7522, 5059792,10,93000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      75,   47070,0,0,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,    1312,  821192,58,441000000,0x0000,1
000000000000000b,       2,46:fe:e1:49:87:f8,       2,     342,  213180,55,326000000,0x0000,1
000000000000000d,       1,46:fe:e1:49:87:f8,       1,      29,   20386,0,544000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      64,   40520,0,414000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     537,  333066,3,660000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1042,  648788,14,328000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1470,  908772,24,268000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     145,   87926,1,474000000,0x0000,1
