datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5302, 3314186,104,645000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      17,    1172,104,705000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5302, 3314186,104,644000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      17,    1172,104,675000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     479,  297742,0,35000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       4,     268,0,271000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     971,  606418,8,176000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       8,     461,8,663000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,114,574000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,114,618000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    1112,  695092,11,864000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       9,     528,12,262000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,114,577000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,114,608000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5967, 3730632,114,565000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      21,    1365,114,625000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,124,578000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,124,609000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    1112,  695092,21,865000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       9,     528,22,263000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     971,  606418,18,179000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       8,     461,18,666000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,124,579000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,124,623000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5967, 3730632,124,570000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      21,    1365,124,630000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     971,  606418,28,179000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       8,     461,28,666000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    1112,  695092,31,866000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       9,     528,32,264000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,134,579000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,134,610000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    5967, 3730632,134,576000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      21,    1365,134,620000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    5967, 3730632,134,573000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,      21,    1365,134,633000000,0x0000,0
0000000000000007,       2,46:fe:e1:49:87:f8,       2,     433,  269114,2,735000000,0x0000,1
000000000000001d,       1,46:fe:e1:49:87:f8,       1,      24,   16704,0,0,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,     433,  269114,2,749000000,0x0000,1
000000000000000d,       1,46:fe:e1:49:87:f8,       1,      30,   19176,0,99000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     187,  114194,3,362000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      78,   42276,0,41000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     505,  308918,13,391000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     239,  152878,0,80000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     370,  229520,2,2000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     255,  151242,1,601000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     860,  532252,23,557000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,       0,       0,0,0,0x0000,1
0000000000000019,       2,46:fe:e1:49:87:f8,       2,      96,   67008,1,502000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    1109,  691714,12,89000000,0x0000,1
0000000000000019,       2,46:fe:e1:49:87:f8,       2,     235,  144098,0,944000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      83,   56074,0,0,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      46,   26876,0,549000000,0x0000,1
000000000000001c,       1,46:fe:e1:49:87:f8,       1,     142,   82604,0,425000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     109,   71138,0,0,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1022,  645340,6,62000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      87,   48906,1,234000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       5,    2850,6,210000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      87,   49878,0,84000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,       5,    2850,0,89000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      51,   34062,0,0,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      18,    9756,0,0,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,0,356000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,     137,   85534,2,891000000,0x0000,1
0000000000000019,       2,46:fe:e1:49:87:f8,       2,       8,    4336,3,799000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     283,  173030,6,893000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     233,  139510,5,13000000,0x0000,1
0000000000000019,       2,46:fe:e1:49:87:f8,       2,       8,    4336,14,147000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     690,  424356,17,257000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      44,   23848,0,587000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     640,  390836,15,361000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      24,   13008,3,198000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,0,267000000,0x0000,0
