datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000004,       1,1a:d9:eb:06:76:99,       2,    2311,  171014,29,29000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,    3944,  291856,84,636000000,0x0000,0
0000000000000006,       2,1a:d9:eb:06:76:99,       4,    4736,  350464,85,172000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   12795,  946830,244,469000000,0x0000,0
0000000000000007,       1,1a:d9:eb:06:76:99,       2,    4377,  323898,144,807000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   17420, 1289080,336,634000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,    4307,  318718,94,934000000,0x0000,0
0000000000000006,       2,1a:d9:eb:06:76:99,       4,    5099,  377326,95,470000000,0x0000,0
0000000000000004,       1,1a:d9:eb:06:76:99,       2,    2674,  197876,39,326000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   13516, 1000184,277,514000000,0x0000,0
0000000000000004,       1,1a:d9:eb:06:76:99,       2,    3044,  225256,49,327000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   14256, 1054944,287,493000000,0x0000,0
0000000000000007,       1,1a:d9:eb:06:76:99,       2,    4747,  351278,154,787000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   18160, 1343840,346,637000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,    4677,  346098,104,932000000,0x0000,0
0000000000000006,       2,1a:d9:eb:06:76:99,       4,    5469,  404706,105,468000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   13535, 1001590,254,476000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   13667, 1011358,264,454000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       6,     252,0,762000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   18292, 1353608,356,615000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       5,     210,1,147000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   14388, 1064712,297,470000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       5,     210,1,582000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,    4743,  350982,114,908000000,0x0000,0
0000000000000006,       2,1a:d9:eb:06:76:99,       4,    5535,  409590,115,444000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       1,      42,0,303000000,0x0000,0
0000000000000007,       1,1a:d9:eb:06:76:99,       2,    4813,  356162,164,769000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   14388, 1064712,307,754000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      20,     840,11,866000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   18292, 1353608,366,897000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,      20,     840,11,429000000,0x0000,0
0000000000000007,       1,1a:d9:eb:06:76:99,       2,    4813,  356162,175,67000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   13667, 1011358,274,753000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,      21,     882,11,61000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,    4743,  350982,125,192000000,0x0000,0
0000000000000006,       2,1a:d9:eb:06:76:99,       4,    5535,  409590,125,728000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,      16,     672,10,587000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,    4743,  350982,135,209000000,0x0000,0
0000000000000006,       2,1a:d9:eb:06:76:99,       4,    5535,  409590,135,745000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,      22,     924,20,604000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,   13667, 1011358,284,756000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,      27,    1134,21,64000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   18292, 1353608,377,31000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,      26,    1092,21,563000000,0x0000,0
0000000000000007,       1,1a:d9:eb:06:76:99,       2,    4813,  356162,185,186000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   14388, 1064712,317,892000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      26,    1092,22,4000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,   18292, 1353608,387,119000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       1,      42,3,956000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,      30,    1260,31,651000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,   14388, 1064712,327,979000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       1,      42,5,334000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,      30,    1260,32,91000000,0x0000,0
000000000000001d,       1,8a:91:5e:64:27:03,       1,       0,       0,0,400000000,0x0000,0
0000000000000016,       1,1a:d9:eb:06:76:99,       1,       0,       0,0,374000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       0,       0,0,491000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       1,       3,     222,2,622000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       0,       0,2,88000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       1,       0,       0,0,391000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       0,       0,0,937000000,0x0000,0
0000000000000007,       2,1a:d9:eb:06:76:99,       2,       0,       0,0,399000000,0x0000,0
0000000000000008,       1,1a:d9:eb:06:76:99,       1,       0,       0,0,387000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       1,       1,      74,0,374000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       0,       0,0,0,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       1,       0,       0,2,812000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       2,      84,1,839000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       1,      14,    1036,0,626000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       1,      42,1,332000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,       9,     666,0,0,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       1,      42,0,203000000,0x0000,0
0000000000000007,       2,1a:d9:eb:06:76:99,       2,       0,       0,0,624000000,0x0000,0
0000000000000007,       2,7e:ba:50:68:c8:ee,       2,       0,       0,0,2000000,0x0000,0
0000000000000008,       1,1a:d9:eb:06:76:99,       1,       0,       0,0,635000000,0x0000,0
0000000000000008,       1,7e:ba:50:68:c8:ee,       1,       0,       0,0,0,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       1,       0,       0,0,0,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       0,       0,1,500000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       1,      42,4,789000000,0x0000,0
0000000000000019,       2,1a:d9:eb:06:76:99,       2,       0,       0,0,0,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,       0,       0,0,0,0x0000,0
000000000000001c,       1,7e:ba:50:68:c8:ee,       1,       0,       0,0,522000000,0x0000,0
0000000000000008,       1,1a:d9:eb:06:76:99,       1,       9,     666,1,716000000,0x0000,0
0000000000000007,       2,1a:d9:eb:06:76:99,       2,       9,     666,1,709000000,0x0000,0
000000000000001c,       1,8a:91:5e:64:27:03,       1,       0,       0,0,259000000,0x0000,0
0000000000000018,       2,8a:91:5e:64:27:03,       2,       0,       0,0,203000000,0x0000,0
0000000000000007,       2,1a:d9:eb:06:76:99,       2,       0,       0,0,186000000,0x0000,0
0000000000000008,       1,1a:d9:eb:06:76:99,       1,       0,       0,0,191000000,0x0000,0
0000000000000009,       1,7e:ba:50:68:c8:ee,       1,       0,       0,0,353000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       0,       0,0,200000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       1,      42,0,202000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,      20,    1480,2,992000000,0x0000,0
