datapath,in-port,eth-dst,out-port,packets,bytes
000000000000001b,       3,d2:33:e1:6c:cd:fd,       1,      36,    3416
0000000000000006,       1,26:a9:ef:14:2a:6b,       4,      35,    3318
0000000000000006,       4,d2:33:e1:6c:cd:fd,       1,      36,    3416
0000000000000003,       2,d2:33:e1:6c:cd:fd,       5,      36,    3416
0000000000000003,       5,26:a9:ef:14:2a:6b,       2,      35,    3318
0000000000000003,       5,42:39:6c:14:2b:e8,       6,      26,    2492
0000000000000003,       6,d2:33:e1:6c:cd:fd,       5,     872,   38024
000000000000000a,       1,26:a9:ef:14:2a:6b,       2,      35,    3318
000000000000000a,       2,d2:33:e1:6c:cd:fd,       1,      36,    3416
000000000000001a,       1,26:a9:ef:14:2a:6b,       2,      35,    3318
000000000000001a,       2,d2:33:e1:6c:cd:fd,       1,      36,    3416
0000000000000014,       1,2a:05:ed:90:b9:12,       1,       0,       0
0000000000000003,       5,2a:05:ed:90:b9:12,       6,   32228, 2384872
0000000000000003,       6,6e:af:d3:04:0f:3a,       5,       6,     612
0000000000000014,       1,2a:05:ed:90:b9:12,       1,       0,       0
0000000000000014,       1,2a:05:ed:90:b9:12,       1,      50,    3700
0000000000000014,       1,2a:05:ed:90:b9:12,       1,     117,    8658
0000000000000014,       1,2a:05:ed:90:b9:12,       1,     306,   22644
