@relation monitor-ddos-port-attack-stats

@attribute datapath string
@attribute port string
@attribute rx-pkts numeric
@attribute rx-bytes numeric
@attribute rx-error numeric
@attribute tx-pkts numeric
@attribute tx-bytes numeric
@attribute tx-error numeric

@data
3,6,6,468,0,103,6270,0
3,fffffffe,0,0,0,0,0,0
16,1,102,6210,0,8,588,0
16,fffffffe,0,0,0,0,0,0
9,1,105,6390,0,9,648,0
9,2,8,588,0,104,6330,0
9,fffffffe,0,0,0,0,0,0
000000000000001b,1,5998724,443904251,0,123,11593,0
000000000000001b,2,11,768,0,102,6210,0
000000000000001b,3,119,11353,0,5998722,443904131,0
000000000000001b,fffffffe,0,0,0,0,0,0
15,1,104,6330,0,8,588,0
15,2,8,588,0,102,6210,0
15,fffffffe,0,0,0,0,0,0
5,1,103,6270,0,8,588,0
5,2,8,588,0,103,6270,0
5,fffffffe,0,0,0,0,0,0
000000000000001c,1,102,6210,0,11,768,0
000000000000001c,2,8,588,0,103,6270,0
000000000000001c,fffffffe,0,0,0,0,0,0
10,1,104,6330,0,10,708,0
10,2,8,588,0,103,6280,0
10,fffffffe,0,0,0,0,0,0
12,1,106,6480,0,7,528,0
12,fffffffe,0,0,0,0,0,0
000000000000001d,1,103,6270,0,8,588,0
000000000000001d,2,104,6330,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
7,1,104,6330,0,11,768,0
7,2,104,6330,0,10,738,0
7,3,7,528,0,106,6480,0
7,4,7,528,0,106,6480,0
7,5,7,528,0,106,6480,0
7,fffffffe,0,0,0,0,0,0
2,1,109,6648,0,15,990,0
2,2,14,930,0,108,6588,0
2,fffffffe,0,0,0,0,0,0
000000000000000a,1,5998729,443904551,0,124,11653,0
000000000000000a,2,125,11743,0,5998724,443904251,0
000000000000000a,3,11,768,0,105,6390,0
000000000000000a,fffffffe,0,0,0,0,0,0
8,1,109,6630,0,13,888,0
8,2,103,6270,0,8,588,0
8,3,9,648,0,105,6390,0
8,fffffffe,0,0,0,0,0,0
000000000000000d,1,106,6450,0,14,958,0
000000000000000d,2,10,708,0,104,6330,0
000000000000000d,3,8,588,0,107,6520,0
000000000000000d,fffffffe,0,0,0,0,0,0
8,1,114,6930,0,13,888,0
8,2,108,6570,0,8,588,0
8,3,9,648,0,110,6690,0
8,fffffffe,0,0,0,0,0,0
000000000000000c,1,109,6630,0,11,768,0
000000000000000c,2,14,958,0,111,6750,0
000000000000000c,fffffffe,0,0,0,0,0,0
15,1,109,6630,0,8,588,0
15,2,8,588,0,107,6510,0
15,fffffffe,0,0,0,0,0,0
12,1,111,6780,0,7,528,0
12,fffffffe,0,0,0,0,0,0
000000000000001b,1,6638642,491258113,0,133,12613,0
000000000000001b,2,11,768,0,107,6510,0
000000000000001b,3,129,12373,0,6638640,491257993,0
000000000000001b,fffffffe,0,0,0,0,0,0
19,1,10,708,0,108,6570,0
19,2,110,6690,0,11,768,0
19,fffffffe,0,0,0,0,0,0
000000000000000b,1,111,6750,0,12,828,0
000000000000000b,2,11,768,0,107,6510,0
000000000000000b,3,11,768,0,109,6630,0
000000000000000b,fffffffe,0,0,0,0,0,0
7,1,109,6630,0,11,768,0
7,2,109,6630,0,10,738,0
7,3,7,528,0,111,6780,0
7,4,7,528,0,111,6780,0
7,5,7,528,0,111,6780,0
7,fffffffe,0,0,0,0,0,0
11,1,108,6580,0,8,588,0
11,fffffffe,0,0,0,0,0,0
000000000000000d,1,111,6750,0,14,958,0
000000000000000d,2,10,708,0,109,6630,0
000000000000000d,3,8,588,0,112,6820,0
000000000000000d,fffffffe,0,0,0,0,0,0
14,1,111,6780,0,7,528,0
14,fffffffe,0,0,0,0,0,0
000000000000000a,1,6638647,491258413,0,134,12673,0
000000000000000a,2,135,12763,0,6638642,491258113,0
000000000000000a,3,11,768,0,110,6690,0
000000000000000a,fffffffe,0,0,0,0,0,0
000000000000000f,1,110,6690,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
1,1,15,990,0,114,6948,0
1,2,12,828,0,111,6750,0
1,fffffffe,0,0,0,0,0,0
2,1,114,6948,0,15,990,0
2,2,14,930,0,113,6888,0
2,fffffffe,0,0,0,0,0,0
17,1,109,6630,0,9,648,0
17,2,12,828,0,109,6630,0
17,fffffffe,0,0,0,0,0,0
16,1,107,6510,0,8,588,0
16,fffffffe,0,0,0,0,0,0
4,1,111,6750,0,11,768,0
4,2,11,768,0,109,6630,0
4,3,8,588,0,108,6570,0
4,fffffffe,0,0,0,0,0,0
10,1,109,6630,0,10,708,0
10,2,8,588,0,108,6580,0
10,fffffffe,0,0,0,0,0,0
000000000000001a,1,6638642,491258113,0,135,12763,0
000000000000001a,2,133,12613,0,6638642,491258113,0
000000000000001a,fffffffe,0,0,0,0,0,0
5,1,108,6570,0,8,588,0
5,2,8,588,0,108,6570,0
5,fffffffe,0,0,0,0,0,0
18,1,9,648,0,109,6630,0
18,2,108,6570,0,10,708,0
18,fffffffe,0,0,0,0,0,0
000000000000000e,1,112,6820,0,8,588,0
000000000000000e,2,7,528,0,110,6690,0
000000000000000e,fffffffe,0,0,0,0,0,0
13,1,111,6780,0,7,528,0
13,fffffffe,0,0,0,0,0,0
3,1,113,6888,0,14,930,0
3,2,136,12793,0,6638647,491258413,0
3,3,11,768,0,111,6750,0
3,4,107,6510,0,11,768,0
3,5,6638540,491251993,0,232,18553,0
3,6,6,468,0,108,6570,0
3,fffffffe,0,0,0,0,0,0
6,1,6638647,491258413,0,136,12793,0
6,2,10,738,0,109,6630,0
6,3,13,888,0,114,6930,0
6,4,134,12673,0,6638647,491258413,0
6,fffffffe,0,0,0,0,0,0
9,1,110,6690,0,9,648,0
9,2,8,588,0,109,6630,0
9,fffffffe,0,0,0,0,0,0
000000000000001d,1,108,6570,0,8,588,0
000000000000001d,2,109,6630,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
000000000000001c,1,107,6510,0,11,768,0
000000000000001c,2,8,588,0,108,6570,0
000000000000001c,fffffffe,0,0,0,0,0,0
000000000000001a,1,7274411,538304917,0,146,13825,0
000000000000001a,2,144,13675,0,7274411,538304917,0
000000000000001a,fffffffe,0,0,0,0,0,0
000000000000001d,1,113,6870,0,8,588,0
000000000000001d,2,114,6930,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
5,1,113,6870,0,8,588,0
5,2,8,588,0,113,6870,0
5,fffffffe,0,0,0,0,0,0
17,1,114,6930,0,9,648,0
17,2,12,828,0,114,6930,0
17,fffffffe,0,0,0,0,0,0
000000000000000e,1,117,7120,0,8,588,0
000000000000000e,2,7,528,0,115,6990,0
000000000000000e,fffffffe,0,0,0,0,0,0
11,1,113,6880,0,8,588,0
11,fffffffe,0,0,0,0,0,0
12,1,116,7080,0,7,528,0
12,fffffffe,0,0,0,0,0,0
4,1,116,7050,0,11,768,0
4,2,11,768,0,114,6930,0
4,3,8,588,0,113,6870,0
4,fffffffe,0,0,0,0,0,0
000000000000000b,1,116,7050,0,12,828,0
000000000000000b,2,11,768,0,112,6810,0
000000000000000b,3,11,768,0,114,6930,0
000000000000000b,fffffffe,0,0,0,0,0,0
15,1,114,6930,0,8,588,0
15,2,8,588,0,112,6810,0
15,fffffffe,0,0,0,0,0,0
8,1,119,7230,0,13,888,0
8,2,113,6870,0,8,588,0
8,3,9,648,0,115,6990,0
8,fffffffe,0,0,0,0,0,0
000000000000000f,1,115,6990,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
18,1,9,648,0,114,6930,0
18,2,113,6870,0,10,708,0
18,fffffffe,0,0,0,0,0,0
000000000000000a,1,7274230,538291453,0,145,13735,0
000000000000000a,2,146,13825,0,7274225,538291153,0
000000000000000a,3,11,768,0,115,6990,0
000000000000000a,fffffffe,0,0,0,0,0,0
1,1,15,990,0,119,7248,0
1,2,12,828,0,116,7050,0
1,fffffffe,0,0,0,0,0,0
7,1,114,6930,0,11,768,0
7,2,114,6930,0,10,738,0
7,3,7,528,0,116,7080,0
7,4,7,528,0,116,7080,0
7,5,7,528,0,116,7080,0
7,fffffffe,0,0,0,0,0,0
000000000000000d,1,116,7050,0,14,958,0
000000000000000d,2,10,708,0,114,6930,0
000000000000000d,3,8,588,0,117,7120,0
000000000000000d,fffffffe,0,0,0,0,0,0
000000000000001c,1,112,6810,0,11,768,0
000000000000001c,2,8,588,0,113,6870,0
000000000000001c,fffffffe,0,0,0,0,0,0
2,1,119,7248,0,15,990,0
2,2,14,930,0,118,7188,0
2,fffffffe,0,0,0,0,0,0
000000000000000c,1,114,6930,0,11,768,0
000000000000000c,2,14,958,0,116,7050,0
000000000000000c,fffffffe,0,0,0,0,0,0
3,1,118,7188,0,14,930,0
3,2,147,13855,0,7274230,538291453,0
3,3,11,768,0,116,7050,0
3,4,112,6810,0,11,768,0
3,5,7274118,538284733,0,248,19915,0
3,6,6,468,0,113,6870,0
3,fffffffe,0,0,0,0,0,0
000000000000001b,1,7274411,538304917,0,144,13675,0
000000000000001b,2,11,768,0,112,6810,0
000000000000001b,3,140,13435,0,7274409,538304797,0
000000000000001b,fffffffe,0,0,0,0,0,0
10,1,114,6930,0,10,708,0
10,2,8,588,0,113,6880,0
10,fffffffe,0,0,0,0,0,0
19,1,10,708,0,113,6870,0
19,2,115,6990,0,11,768,0
19,fffffffe,0,0,0,0,0,0
9,1,115,6990,0,9,648,0
9,2,8,588,0,114,6930,0
9,fffffffe,0,0,0,0,0,0
13,1,116,7080,0,7,528,0
13,fffffffe,0,0,0,0,0,0
6,1,7274230,538291453,0,147,13855,0
6,2,10,738,0,114,6930,0
6,3,13,888,0,119,7230,0
6,4,145,13735,0,7274230,538291453,0
6,fffffffe,0,0,0,0,0,0
14,1,116,7080,0,7,528,0
14,fffffffe,0,0,0,0,0,0
16,1,112,6810,0,8,588,0
16,fffffffe,0,0,0,0,0,0
8,1,124,7530,0,13,888,0
8,2,118,7170,0,8,588,0
8,3,9,648,0,120,7290,0
8,fffffffe,0,0,0,0,0,0
3,1,123,7488,0,14,930,0
3,2,158,14917,0,7904435,584926521,0
3,3,11,768,0,121,7350,0
3,4,117,7110,0,11,768,0
3,5,7904318,584919501,0,264,21277,0
3,6,6,468,0,118,7170,0
3,fffffffe,0,0,0,0,0,0
000000000000001a,1,7904430,584926221,0,157,14887,0
000000000000001a,2,155,14737,0,7904430,584926221,0
000000000000001a,fffffffe,0,0,0,0,0,0
11,1,118,7180,0,8,588,0
11,fffffffe,0,0,0,0,0,0
17,1,119,7230,0,9,648,0
17,2,12,828,0,119,7230,0
17,fffffffe,0,0,0,0,0,0
19,1,10,708,0,118,7170,0
19,2,120,7290,0,11,768,0
19,fffffffe,0,0,0,0,0,0
18,1,9,648,0,119,7230,0
18,2,118,7170,0,10,708,0
18,fffffffe,0,0,0,0,0,0
000000000000000f,1,120,7290,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
16,1,117,7110,0,8,588,0
16,fffffffe,0,0,0,0,0,0
000000000000000c,1,119,7230,0,11,768,0
000000000000000c,2,14,958,0,121,7350,0
000000000000000c,fffffffe,0,0,0,0,0,0
000000000000001d,1,118,7170,0,8,588,0
000000000000001d,2,119,7230,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
7,1,119,7230,0,11,768,0
7,2,119,7230,0,10,738,0
7,3,7,528,0,121,7380,0
7,4,7,528,0,121,7380,0
7,5,7,528,0,121,7380,0
7,fffffffe,0,0,0,0,0,0
4,1,121,7350,0,11,768,0
4,2,11,768,0,119,7230,0
4,3,8,588,0,118,7170,0
4,fffffffe,0,0,0,0,0,0
13,1,121,7380,0,7,528,0
13,fffffffe,0,0,0,0,0,0
000000000000000d,1,121,7350,0,14,958,0
000000000000000d,2,10,708,0,119,7230,0
000000000000000d,3,8,588,0,122,7420,0
000000000000000d,fffffffe,0,0,0,0,0,0
1,1,15,990,0,124,7548,0
1,2,12,828,0,121,7350,0
1,fffffffe,0,0,0,0,0,0
000000000000000a,1,7904435,584926521,0,156,14797,0
000000000000000a,2,157,14887,0,7904430,584926221,0
000000000000000a,3,11,768,0,120,7290,0
000000000000000a,fffffffe,0,0,0,0,0,0
000000000000001c,1,117,7110,0,11,768,0
000000000000001c,2,8,588,0,118,7170,0
000000000000001c,fffffffe,0,0,0,0,0,0
15,1,119,7230,0,8,588,0
15,2,8,588,0,117,7110,0
15,fffffffe,0,0,0,0,0,0
10,1,119,7230,0,10,708,0
10,2,8,588,0,118,7180,0
10,fffffffe,0,0,0,0,0,0
5,1,118,7170,0,8,588,0
5,2,8,588,0,118,7170,0
5,fffffffe,0,0,0,0,0,0
2,1,124,7548,0,15,990,0
2,2,14,930,0,123,7488,0
2,fffffffe,0,0,0,0,0,0
000000000000001b,1,7904430,584926221,0,155,14737,0
000000000000001b,2,11,768,0,117,7110,0
000000000000001b,3,151,14497,0,7904428,584926101,0
000000000000001b,fffffffe,0,0,0,0,0,0
9,1,120,7290,0,9,648,0
9,2,8,588,0,119,7230,0
9,fffffffe,0,0,0,0,0,0
000000000000000b,1,121,7350,0,12,828,0
000000000000000b,2,11,768,0,117,7110,0
000000000000000b,3,11,768,0,119,7230,0
000000000000000b,fffffffe,0,0,0,0,0,0
000000000000000e,1,122,7420,0,8,588,0
000000000000000e,2,7,528,0,120,7290,0
000000000000000e,fffffffe,0,0,0,0,0,0
14,1,121,7380,0,7,528,0
14,fffffffe,0,0,0,0,0,0
12,1,121,7380,0,7,528,0
12,fffffffe,0,0,0,0,0,0
6,1,7904435,584926521,0,158,14917,0
6,2,10,738,0,119,7230,0
6,3,13,888,0,124,7530,0
6,4,156,14797,0,7904435,584926521,0
6,fffffffe,0,0,0,0,0,0
000000000000001c,1,122,7410,0,11,768,0
000000000000001c,2,8,588,0,123,7470,0
000000000000001c,fffffffe,0,0,0,0,0,0
000000000000000a,1,8554714,633047097,0,166,15817,0
000000000000000a,2,167,15907,0,8554709,633046797,0
000000000000000a,3,11,768,0,125,7590,0
000000000000000a,fffffffe,0,0,0,0,0,0
2,1,129,7848,0,15,990,0
2,2,14,930,0,128,7788,0
2,fffffffe,0,0,0,0,0,0
15,1,124,7530,0,8,588,0
15,2,8,588,0,122,7410,0
15,fffffffe,0,0,0,0,0,0
6,1,8554714,633047097,0,168,15937,0
6,2,10,738,0,124,7530,0
6,3,13,888,0,129,7830,0
6,4,166,15817,0,8554714,633047097,0
6,fffffffe,0,0,0,0,0,0
1,1,15,990,0,129,7848,0
1,2,12,828,0,126,7650,0
1,fffffffe,0,0,0,0,0,0
000000000000000f,1,125,7590,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
10,1,124,7530,0,10,708,0
10,2,8,588,0,123,7480,0
10,fffffffe,0,0,0,0,0,0
000000000000001b,1,8554709,633046797,0,165,15757,0
000000000000001b,2,11,768,0,122,7410,0
000000000000001b,3,161,15517,0,8554707,633046677,0
000000000000001b,fffffffe,0,0,0,0,0,0
000000000000000c,1,124,7530,0,11,768,0
000000000000000c,2,14,958,0,126,7650,0
000000000000000c,fffffffe,0,0,0,0,0,0
5,1,123,7470,0,8,588,0
5,2,8,588,0,123,7470,0
5,fffffffe,0,0,0,0,0,0
3,1,128,7788,0,14,930,0
3,2,168,15937,0,8554714,633047097,0
3,3,11,768,0,126,7650,0
3,4,122,7410,0,11,768,0
3,5,8554592,633039777,0,279,22597,0
3,6,6,468,0,123,7470,0
3,fffffffe,0,0,0,0,0,0
17,1,124,7530,0,9,648,0
17,2,12,828,0,124,7530,0
17,fffffffe,0,0,0,0,0,0
8,1,129,7830,0,13,888,0
8,2,123,7470,0,8,588,0
8,3,9,648,0,125,7590,0
8,fffffffe,0,0,0,0,0,0
14,1,126,7680,0,7,528,0
14,fffffffe,0,0,0,0,0,0
4,1,126,7650,0,11,768,0
4,2,11,768,0,124,7530,0
4,3,8,588,0,123,7470,0
4,fffffffe,0,0,0,0,0,0
000000000000000d,1,126,7650,0,14,958,0
000000000000000d,2,10,708,0,124,7530,0
000000000000000d,3,8,588,0,127,7720,0
000000000000000d,fffffffe,0,0,0,0,0,0
000000000000001a,1,8554709,633046797,0,167,15907,0
000000000000001a,2,165,15757,0,8554709,633046797,0
000000000000001a,fffffffe,0,0,0,0,0,0
7,1,124,7530,0,11,768,0
7,2,124,7530,0,10,738,0
7,3,7,528,0,126,7680,0
7,4,7,528,0,126,7680,0
7,5,7,528,0,126,7680,0
7,fffffffe,0,0,0,0,0,0
000000000000000e,1,127,7720,0,8,588,0
000000000000000e,2,7,528,0,125,7590,0
000000000000000e,fffffffe,0,0,0,0,0,0
18,1,9,648,0,124,7530,0
18,2,123,7470,0,10,708,0
18,fffffffe,0,0,0,0,0,0
16,1,122,7410,0,8,588,0
16,fffffffe,0,0,0,0,0,0
13,1,126,7680,0,7,528,0
13,fffffffe,0,0,0,0,0,0
12,1,126,7680,0,7,528,0
12,fffffffe,0,0,0,0,0,0
11,1,123,7480,0,8,588,0
11,fffffffe,0,0,0,0,0,0
000000000000001d,1,123,7470,0,8,588,0
000000000000001d,2,124,7530,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
9,1,125,7590,0,9,648,0
9,2,8,588,0,124,7530,0
9,fffffffe,0,0,0,0,0,0
000000000000000b,1,126,7650,0,12,828,0
000000000000000b,2,11,768,0,122,7410,0
000000000000000b,3,11,768,0,124,7530,0
000000000000000b,fffffffe,0,0,0,0,0,0
19,1,10,708,0,123,7470,0
19,2,125,7590,0,11,768,0
19,fffffffe,0,0,0,0,0,0
000000000000000d,1,131,7950,0,14,958,0
000000000000000d,2,10,708,0,129,7830,0
000000000000000d,3,8,588,0,132,8020,0
000000000000000d,fffffffe,0,0,0,0,0,0
8,1,134,8130,0,13,888,0
8,2,128,7770,0,8,588,0
8,3,9,648,0,130,7890,0
8,fffffffe,0,0,0,0,0,0
5,1,128,7770,0,8,588,0
5,2,8,588,0,128,7770,0
5,fffffffe,0,0,0,0,0,0
000000000000000c,1,129,7830,0,11,768,0
000000000000000c,2,14,958,0,131,7950,0
000000000000000c,fffffffe,0,0,0,0,0,0
6,1,9203487,681056197,0,179,16999,0
6,2,10,738,0,129,7830,0
6,3,13,888,0,134,8130,0
6,4,177,16879,0,9203487,681056197,0
6,fffffffe,0,0,0,0,0,0
14,1,131,7980,0,7,528,0
14,fffffffe,0,0,0,0,0,0
16,1,127,7710,0,8,588,0
16,fffffffe,0,0,0,0,0,0
19,1,10,708,0,128,7770,0
19,2,130,7890,0,11,768,0
19,fffffffe,0,0,0,0,0,0
15,1,129,7830,0,8,588,0
15,2,8,588,0,127,7710,0
15,fffffffe,0,0,0,0,0,0
000000000000000a,1,9203487,681056197,0,177,16879,0
000000000000000a,2,178,16969,0,9203482,681055897,0
000000000000000a,3,11,768,0,130,7890,0
000000000000000a,fffffffe,0,0,0,0,0,0
11,1,128,7780,0,8,588,0
11,fffffffe,0,0,0,0,0,0
2,1,134,8148,0,15,990,0
2,2,14,930,0,133,8088,0
2,fffffffe,0,0,0,0,0,0
000000000000001d,1,128,7770,0,8,588,0
000000000000001d,2,129,7830,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
10,1,129,7830,0,10,708,0
10,2,8,588,0,128,7780,0
10,fffffffe,0,0,0,0,0,0
4,1,131,7950,0,11,768,0
4,2,11,768,0,129,7830,0
4,3,8,588,0,128,7770,0
4,fffffffe,0,0,0,0,0,0
3,1,133,8088,0,14,930,0
3,2,179,16999,0,9203487,681056197,0
3,3,11,768,0,131,7950,0
3,4,127,7710,0,11,768,0
3,5,9203360,681048577,0,295,23959,0
3,6,6,468,0,128,7770,0
3,fffffffe,0,0,0,0,0,0
000000000000000e,1,132,8020,0,8,588,0
000000000000000e,2,7,528,0,130,7890,0
000000000000000e,fffffffe,0,0,0,0,0,0
1,1,15,990,0,134,8148,0
1,2,12,828,0,131,7950,0
1,fffffffe,0,0,0,0,0,0
9,1,130,7890,0,9,648,0
9,2,8,588,0,129,7830,0
9,fffffffe,0,0,0,0,0,0
13,1,131,7980,0,7,528,0
13,fffffffe,0,0,0,0,0,0
000000000000001a,1,9203482,681055897,0,178,16969,0
000000000000001a,2,176,16819,0,9203482,681055897,0
000000000000001a,fffffffe,0,0,0,0,0,0
000000000000001b,1,9203482,681055897,0,176,16819,0
000000000000001b,2,11,768,0,127,7710,0
000000000000001b,3,172,16579,0,9203480,681055777,0
000000000000001b,fffffffe,0,0,0,0,0,0
18,1,9,648,0,129,7830,0
18,2,128,7770,0,10,708,0
18,fffffffe,0,0,0,0,0,0
000000000000001c,1,127,7710,0,11,768,0
000000000000001c,2,8,588,0,128,7770,0
000000000000001c,fffffffe,0,0,0,0,0,0
17,1,129,7830,0,9,648,0
17,2,12,828,0,129,7830,0
17,fffffffe,0,0,0,0,0,0
000000000000000f,1,130,7890,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
7,1,129,7830,0,11,768,0
7,2,129,7830,0,10,738,0
7,3,7,528,0,131,7980,0
7,4,7,528,0,131,7980,0
7,5,7,528,0,131,7980,0
7,fffffffe,0,0,0,0,0,0
000000000000000b,1,131,7950,0,12,828,0
000000000000000b,2,11,768,0,127,7710,0
000000000000000b,3,11,768,0,129,7830,0
000000000000000b,fffffffe,0,0,0,0,0,0
12,1,131,7980,0,7,528,0
12,fffffffe,0,0,0,0,0,0
13,1,136,8280,0,7,528,0
13,fffffffe,0,0,0,0,0,0
12,1,136,8280,0,7,528,0
12,fffffffe,0,0,0,0,0,0
15,1,134,8130,0,8,588,0
15,2,8,588,0,132,8010,0
15,fffffffe,0,0,0,0,0,0
17,1,134,8130,0,9,648,0
17,2,12,828,0,134,8130,0
17,fffffffe,0,0,0,0,0,0
1,1,15,990,0,139,8448,0
1,2,12,828,0,136,8250,0
1,fffffffe,0,0,0,0,0,0
18,1,9,648,0,134,8130,0
18,2,133,8070,0,10,708,0
18,fffffffe,0,0,0,0,0,0
19,1,10,708,0,133,8070,0
19,2,135,8190,0,11,768,0
19,fffffffe,0,0,0,0,0,0
7,1,134,8130,0,11,768,0
7,2,134,8130,0,10,738,0
7,3,7,528,0,136,8280,0
7,4,7,528,0,136,8280,0
7,5,7,528,0,136,8280,0
7,fffffffe,0,0,0,0,0,0
6,1,9841086,728238421,0,190,18061,0
6,2,10,738,0,134,8130,0
6,3,13,888,0,139,8430,0
6,4,188,17941,0,9841086,728238421,0
6,fffffffe,0,0,0,0,0,0
9,1,135,8190,0,9,648,0
9,2,8,588,0,134,8130,0
9,fffffffe,0,0,0,0,0,0
000000000000001b,1,9841081,728238121,0,187,17881,0
000000000000001b,2,11,768,0,132,8010,0
000000000000001b,3,183,17641,0,9841079,728238001,0
000000000000001b,fffffffe,0,0,0,0,0,0
10,1,134,8130,0,10,708,0
10,2,8,588,0,133,8080,0
10,fffffffe,0,0,0,0,0,0
000000000000000a,1,9841086,728238421,0,188,17941,0
000000000000000a,2,189,18031,0,9841081,728238121,0
000000000000000a,3,11,768,0,135,8190,0
000000000000000a,fffffffe,0,0,0,0,0,0
5,1,133,8070,0,8,588,0
5,2,8,588,0,133,8070,0
5,fffffffe,0,0,0,0,0,0
000000000000000e,1,137,8320,0,8,588,0
000000000000000e,2,7,528,0,135,8190,0
000000000000000e,fffffffe,0,0,0,0,0,0
000000000000001c,1,132,8010,0,11,768,0
000000000000001c,2,8,588,0,133,8070,0
000000000000001c,fffffffe,0,0,0,0,0,0
000000000000001a,1,9841081,728238121,0,189,18031,0
000000000000001a,2,187,17881,0,9841081,728238121,0
000000000000001a,fffffffe,0,0,0,0,0,0
000000000000000b,1,136,8250,0,12,828,0
000000000000000b,2,11,768,0,132,8010,0
000000000000000b,3,11,768,0,134,8130,0
000000000000000b,fffffffe,0,0,0,0,0,0
3,1,138,8388,0,14,930,0
3,2,190,18061,0,9841086,728238421,0
3,3,11,768,0,136,8250,0
3,4,132,8010,0,11,768,0
3,5,9840954,728230501,0,311,25321,0
3,6,6,468,0,133,8070,0
3,fffffffe,0,0,0,0,0,0
000000000000000c,1,134,8130,0,11,768,0
000000000000000c,2,14,958,0,136,8250,0
000000000000000c,fffffffe,0,0,0,0,0,0
14,1,136,8280,0,7,528,0
14,fffffffe,0,0,0,0,0,0
2,1,139,8448,0,15,990,0
2,2,14,930,0,138,8388,0
2,fffffffe,0,0,0,0,0,0
000000000000000d,1,136,8250,0,14,958,0
000000000000000d,2,10,708,0,134,8130,0
000000000000000d,3,8,588,0,137,8320,0
000000000000000d,fffffffe,0,0,0,0,0,0
000000000000001d,1,133,8070,0,8,588,0
000000000000001d,2,134,8130,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
16,1,132,8010,0,8,588,0
16,fffffffe,0,0,0,0,0,0
11,1,133,8080,0,8,588,0
11,fffffffe,0,0,0,0,0,0
8,1,139,8430,0,13,888,0
8,2,133,8070,0,8,588,0
8,3,9,648,0,135,8190,0
8,fffffffe,0,0,0,0,0,0
000000000000000f,1,135,8190,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
4,1,136,8250,0,11,768,0
4,2,11,768,0,134,8130,0
4,3,8,588,0,133,8070,0
4,fffffffe,0,0,0,0,0,0
11,1,138,8380,0,8,588,0
11,fffffffe,0,0,0,0,0,0
16,1,137,8310,0,8,588,0
16,fffffffe,0,0,0,0,0,0
000000000000000f,1,140,8490,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000000e,1,142,8620,0,8,588,0
000000000000000e,2,7,528,0,140,8490,0
000000000000000e,fffffffe,0,0,0,0,0,0
000000000000001b,1,10453410,773550365,0,198,18943,0
000000000000001b,2,11,768,0,137,8310,0
000000000000001b,3,194,18703,0,10453408,773550245,0
000000000000001b,fffffffe,0,0,0,0,0,0
15,1,139,8430,0,8,588,0
15,2,8,588,0,137,8310,0
15,fffffffe,0,0,0,0,0,0
17,1,139,8430,0,9,648,0
17,2,12,828,0,139,8430,0
17,fffffffe,0,0,0,0,0,0
3,1,143,8688,0,14,930,0
3,2,201,19123,0,10453415,773550665,0
3,3,11,768,0,141,8550,0
3,4,137,8310,0,11,768,0
3,5,10453278,773542445,0,327,26683,0
3,6,6,468,0,138,8370,0
3,fffffffe,0,0,0,0,0,0
8,1,144,8730,0,13,888,0
8,2,138,8370,0,8,588,0
8,3,9,648,0,140,8490,0
8,fffffffe,0,0,0,0,0,0
000000000000001a,1,10453410,773550365,0,200,19093,0
000000000000001a,2,198,18943,0,10453410,773550365,0
000000000000001a,fffffffe,0,0,0,0,0,0
7,1,139,8430,0,11,768,0
7,2,139,8430,0,10,738,0
7,3,7,528,0,141,8580,0
7,4,7,528,0,141,8580,0
7,5,7,528,0,141,8580,0
7,fffffffe,0,0,0,0,0,0
000000000000000a,1,10453415,773550665,0,199,19003,0
000000000000000a,2,200,19093,0,10453410,773550365,0
000000000000000a,3,11,768,0,140,8490,0
000000000000000a,fffffffe,0,0,0,0,0,0
000000000000000c,1,139,8430,0,11,768,0
000000000000000c,2,14,958,0,141,8550,0
000000000000000c,fffffffe,0,0,0,0,0,0
000000000000000b,1,141,8550,0,12,828,0
000000000000000b,2,11,768,0,137,8310,0
000000000000000b,3,11,768,0,139,8430,0
000000000000000b,fffffffe,0,0,0,0,0,0
000000000000001d,1,138,8370,0,8,588,0
000000000000001d,2,139,8430,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
9,1,140,8490,0,9,648,0
9,2,8,588,0,139,8430,0
9,fffffffe,0,0,0,0,0,0
13,1,141,8580,0,7,528,0
13,fffffffe,0,0,0,0,0,0
000000000000001c,1,137,8310,0,11,768,0
000000000000001c,2,8,588,0,138,8370,0
000000000000001c,fffffffe,0,0,0,0,0,0
19,1,10,708,0,138,8370,0
19,2,140,8490,0,11,768,0
19,fffffffe,0,0,0,0,0,0
10,1,139,8430,0,10,708,0
