@relation monitor-ddos-flow-attack-stats_clustered

@attribute Instance_number numeric
@attribute datapath string
@attribute in-port numeric
@attribute eth-dst string
@attribute out-port numeric
@attribute packets numeric
@attribute bytes numeric
@attribute Cluster {cluster0,cluster1}

@data
82,3,2,0e:9b:90:6e:a3:53,5,80,7699,cluster1
83,3,5,de:f5:ad:55:e8:54,2,4076008,301624697,cluster0
84,000000000000000a,1,de:f5:ad:55:e8:54,2,4076008,301624697,cluster0
85,000000000000000a,2,0e:9b:90:6e:a3:53,1,80,7699,cluster1
86,000000000000001a,1,de:f5:ad:55:e8:54,2,4076008,301624697,cluster0
87,000000000000001a,2,0e:9b:90:6e:a3:53,1,80,7699,cluster1
88,6,1,de:f5:ad:55:e8:54,4,4076008,301624697,cluster0
89,6,4,0e:9b:90:6e:a3:53,1,80,7699,cluster1
90,6,1,de:f5:ad:55:e8:54,4,4717920,349126185,cluster0
91,6,4,0e:9b:90:6e:a3:53,1,90,8719,cluster1
92,000000000000000a,1,de:f5:ad:55:e8:54,2,4717920,349126185,cluster0
93,000000000000000a,2,0e:9b:90:6e:a3:53,1,90,8719,cluster1
94,000000000000001b,1,de:f5:ad:55:e8:54,3,4717920,349126185,cluster0
95,000000000000001b,3,0e:9b:90:6e:a3:53,1,90,8719,cluster1
96,000000000000001a,1,de:f5:ad:55:e8:54,2,4717920,349126185,cluster0
97,000000000000001a,2,0e:9b:90:6e:a3:53,1,90,8719,cluster1
98,3,2,0e:9b:90:6e:a3:53,5,90,8719,cluster1
99,3,5,de:f5:ad:55:e8:54,2,4717920,349126185,cluster0
100,000000000000000a,1,de:f5:ad:55:e8:54,2,5347520,395716553,cluster0
101,000000000000000a,2,0e:9b:90:6e:a3:53,1,101,9781,cluster1
102,3,2,0e:9b:90:6e:a3:53,5,101,9781,cluster1
103,3,5,de:f5:ad:55:e8:54,2,5347520,395716553,cluster0
104,6,1,de:f5:ad:55:e8:54,4,5347520,395716553,cluster0
105,6,4,0e:9b:90:6e:a3:53,1,101,9781,cluster1
106,000000000000001a,1,de:f5:ad:55:e8:54,2,5347520,395716553,cluster0
107,000000000000001a,2,0e:9b:90:6e:a3:53,1,101,9781,cluster1
108,000000000000001b,1,de:f5:ad:55:e8:54,3,5347520,395716553,cluster0
109,000000000000001b,3,0e:9b:90:6e:a3:53,1,101,9781,cluster1
110,000000000000001a,1,de:f5:ad:55:e8:54,2,5990604,443304737,cluster0
111,000000000000001a,2,0e:9b:90:6e:a3:53,1,112,10843,cluster1
112,6,1,de:f5:ad:55:e8:54,4,5990604,443304737,cluster0
113,6,4,0e:9b:90:6e:a3:53,1,112,10843,cluster1
114,3,2,0e:9b:90:6e:a3:53,5,112,10843,cluster1
115,3,5,de:f5:ad:55:e8:54,2,5990604,443304737,cluster0
116,000000000000001b,1,de:f5:ad:55:e8:54,3,5990604,443304737,cluster0
117,000000000000001b,3,0e:9b:90:6e:a3:53,1,112,10843,cluster1
118,000000000000000a,1,de:f5:ad:55:e8:54,2,5990604,443304737,cluster0
119,000000000000000a,2,0e:9b:90:6e:a3:53,1,112,10843,cluster1
120,000000000000001b,1,de:f5:ad:55:e8:54,3,6631441,490726675,cluster0
121,000000000000001b,3,0e:9b:90:6e:a3:53,1,122,11863,cluster1
122,000000000000000a,1,de:f5:ad:55:e8:54,2,6631441,490726675,cluster0
123,000000000000000a,2,0e:9b:90:6e:a3:53,1,122,11863,cluster1
124,000000000000001a,1,de:f5:ad:55:e8:54,2,6631441,490726675,cluster0
125,000000000000001a,2,0e:9b:90:6e:a3:53,1,122,11863,cluster1
126,3,2,0e:9b:90:6e:a3:53,5,122,11863,cluster1
127,3,5,de:f5:ad:55:e8:54,2,6631441,490726675,cluster0
128,6,1,de:f5:ad:55:e8:54,4,6631441,490726675,cluster0
129,6,4,0e:9b:90:6e:a3:53,1,122,11863,cluster1
130,000000000000001a,1,de:f5:ad:55:e8:54,2,7266608,537729001,cluster0
131,000000000000001a,2,0e:9b:90:6e:a3:53,1,133,12925,cluster1
132,000000000000000a,1,de:f5:ad:55:e8:54,2,7266608,537729001,cluster0
133,000000000000000a,2,0e:9b:90:6e:a3:53,1,133,12925,cluster1
134,3,2,0e:9b:90:6e:a3:53,5,133,12925,cluster1
