@relation monitor-ddos-flow-attack-stats_clustered

@attribute Instance_number numeric
@attribute datapath string
@attribute in-port numeric
@attribute eth-dst string
@attribute out-port numeric
@attribute packets numeric
@attribute bytes numeric
@attribute Cluster {cluster0,cluster1}

@data
355,6,4,0e:9b:90:6e:a3:53,1,369,36037,cluster1
356,000000000000000a,1,de:f5:ad:55:e8:54,2,21298132,1576061265,cluster0
357,000000000000000a,2,0e:9b:90:6e:a3:53,1,369,36037,cluster1
358,000000000000001a,1,de:f5:ad:55:e8:54,2,21298132,1576061265,cluster0
359,000000000000001a,2,0e:9b:90:6e:a3:53,1,369,36037,cluster1
360,000000000000000a,1,de:f5:ad:55:e8:54,2,21930050,1622823197,cluster0
361,000000000000000a,2,0e:9b:90:6e:a3:53,1,379,37057,cluster1
362,3,2,0e:9b:90:6e:a3:53,5,379,37057,cluster1
363,3,5,de:f5:ad:55:e8:54,2,21930050,1622823197,cluster0
364,6,1,de:f5:ad:55:e8:54,4,21930050,1622823197,cluster0
365,6,4,0e:9b:90:6e:a3:53,1,379,37057,cluster1
366,000000000000001b,1,de:f5:ad:55:e8:54,3,21930050,1622823197,cluster0
367,000000000000001b,3,0e:9b:90:6e:a3:53,1,379,37057,cluster1
368,000000000000001a,1,de:f5:ad:55:e8:54,2,21930050,1622823197,cluster0
369,000000000000001a,2,0e:9b:90:6e:a3:53,1,379,37057,cluster1
370,000000000000001a,1,de:f5:ad:55:e8:54,2,22557066,1669222317,cluster0
371,000000000000001a,2,0e:9b:90:6e:a3:53,1,391,38161,cluster1
372,000000000000000a,1,de:f5:ad:55:e8:54,2,22557066,1669222317,cluster0
373,000000000000000a,2,0e:9b:90:6e:a3:53,1,391,38161,cluster1
374,000000000000001b,1,de:f5:ad:55:e8:54,3,22557066,1669222317,cluster0
375,000000000000001b,3,0e:9b:90:6e:a3:53,1,391,38161,cluster1
376,6,1,de:f5:ad:55:e8:54,4,22557066,1669222317,cluster0
377,6,4,0e:9b:90:6e:a3:53,1,391,38161,cluster1
378,3,2,0e:9b:90:6e:a3:53,5,391,38161,cluster1
379,3,5,de:f5:ad:55:e8:54,2,22557066,1669222317,cluster0
380,3,2,0e:9b:90:6e:a3:53,5,401,39181,cluster1
381,3,5,de:f5:ad:55:e8:54,2,23202737,1717001971,cluster0
382,000000000000001a,1,de:f5:ad:55:e8:54,2,23202737,1717001971,cluster0
383,000000000000001a,2,0e:9b:90:6e:a3:53,1,401,39181,cluster1
384,6,1,de:f5:ad:55:e8:54,4,23202737,1717001971,cluster0
385,6,4,0e:9b:90:6e:a3:53,1,401,39181,cluster1
386,000000000000001b,1,de:f5:ad:55:e8:54,3,23202737,1717001971,cluster0
387,000000000000001b,3,0e:9b:90:6e:a3:53,1,401,39181,cluster1
388,000000000000000a,1,de:f5:ad:55:e8:54,2,23202737,1717001971,cluster0
389,000000000000000a,2,0e:9b:90:6e:a3:53,1,401,39181,cluster1
390,000000000000001b,1,de:f5:ad:55:e8:54,3,23855416,1765300185,cluster0
391,000000000000001b,3,0e:9b:90:6e:a3:53,1,412,40243,cluster1
392,6,1,de:f5:ad:55:e8:54,4,23855416,1765300185,cluster0
393,6,4,0e:9b:90:6e:a3:53,1,412,40243,cluster1
394,000000000000001a,1,de:f5:ad:55:e8:54,2,23855416,1765300185,cluster0
395,000000000000001a,2,0e:9b:90:6e:a3:53,1,412,40243,cluster1
396,000000000000000a,1,de:f5:ad:55:e8:54,2,23855416,1765300185,cluster0
397,000000000000000a,2,0e:9b:90:6e:a3:53,1,412,40243,cluster1
398,3,2,0e:9b:90:6e:a3:53,5,412,40243,cluster1
399,3,5,de:f5:ad:55:e8:54,2,23855416,1765300185,cluster0
400,3,2,0e:9b:90:6e:a3:53,5,422,41263,cluster1
401,3,5,de:f5:ad:55:e8:54,2,24505389,1813398187,cluster0
402,000000000000001a,1,de:f5:ad:55:e8:54,2,24505389,1813398187,cluster0
403,000000000000001a,2,0e:9b:90:6e:a3:53,1,422,41263,cluster1
404,000000000000000a,1,de:f5:ad:55:e8:54,2,24505389,1813398187,cluster0
405,000000000000000a,2,0e:9b:90:6e:a3:53,1,422,41263,cluster1
406,6,1,de:f5:ad:55:e8:54,4,24505389,1813398187,cluster0
407,6,4,0e:9b:90:6e:a3:53,1,422,41263,cluster1
408,000000000000001b,1,de:f5:ad:55:e8:54,3,24505389,1813398187,cluster0
409,000000000000001b,3,0e:9b:90:6e:a3:53,1,422,41263,cluster1
410,000000000000000a,1,de:f5:ad:55:e8:54,2,25122549,1859067995,cluster0
411,000000000000000a,2,0e:9b:90:6e:a3:53,1,433,42325,cluster1
412,6,1,de:f5:ad:55:e8:54,4,25122549,1859067995,cluster0
413,6,4,0e:9b:90:6e:a3:53,1,433,42325,cluster1
414,000000000000001b,1,de:f5:ad:55:e8:54,3,25122549,1859067995,cluster0
415,000000000000001b,3,0e:9b:90:6e:a3:53,1,433,42325,cluster1
416,3,2,0e:9b:90:6e:a3:53,5,433,42325,cluster1
417,3,5,de:f5:ad:55:e8:54,2,25122549,1859067995,cluster0
418,000000000000001a,1,de:f5:ad:55:e8:54,2,25122549,1859067995,cluster0
419,000000000000001a,2,0e:9b:90:6e:a3:53,1,433,42325,cluster1
420,000000000000001b,1,de:f5:ad:55:e8:54,3,25765434,1906641453,cluster0
421,000000000000001b,3,0e:9b:90:6e:a3:53,1,444,43387,cluster1
422,3,2,0e:9b:90:6e:a3:53,5,444,43387,cluster1
423,3,5,de:f5:ad:55:e8:54,2,25765434,1906641453,cluster0
424,6,1,de:f5:ad:55:e8:54,4,25765434,1906641453,cluster0
425,6,4,0e:9b:90:6e:a3:53,1,444,43387,cluster1
426,000000000000000a,1,de:f5:ad:55:e8:54,2,25765434,1906641453,cluster0
427,000000000000000a,2,0e:9b:90:6e:a3:53,1,444,43387,cluster1
428,000000000000001a,1,de:f5:ad:55:e8:54,2,25765434,1906641453,cluster0
429,000000000000001a,2,0e:9b:90:6e:a3:53,1,444,43387,cluster1
430,6,1,de:f5:ad:55:e8:54,4,26415201,1954724179,cluster0
431,6,4,0e:9b:90:6e:a3:53,1,455,44449,cluster1
432,000000000000000a,1,de:f5:ad:55:e8:54,2,26415201,1954724179,cluster0
433,000000000000000a,2,0e:9b:90:6e:a3:53,1,455,44449,cluster1
434,000000000000001a,1,de:f5:ad:55:e8:54,2,26415201,1954724179,cluster0
435,000000000000001a,2,0e:9b:90:6e:a3:53,1,455,44449,cluster1
436,3,2,0e:9b:90:6e:a3:53,5,455,44449,cluster1
437,3,5,de:f5:ad:55:e8:54,2,26415201,1954724179,cluster0
438,000000000000001b,1,de:f5:ad:55:e8:54,3,26415201,1954724179,cluster0
439,000000000000001b,3,0e:9b:90:6e:a3:53,1,455,44449,cluster1
440,000000000000000a,1,de:f5:ad:55:e8:54,2,27065327,2002833503,cluster0
441,000000000000000a,2,0e:9b:90:6e:a3:53,1,465,45469,cluster1
442,000000000000001a,1,de:f5:ad:55:e8:54,2,27065327,2002833503,cluster0
443,000000000000001a,2,0e:9b:90:6e:a3:53,1,465,45469,cluster1
444,3,2,0e:9b:90:6e:a3:53,5,465,45469,cluster1
445,3,5,de:f5:ad:55:e8:54,2,27065327,2002833503,cluster0
446,000000000000001b,1,de:f5:ad:55:e8:54,3,27065327,2002833503,cluster0
447,000000000000001b,3,0e:9b:90:6e:a3:53,1,465,45469,cluster1
448,6,1,de:f5:ad:55:e8:54,4,27065327,2002833503,cluster0
449,6,4,0e:9b:90:6e:a3:53,1,465,45469,cluster1
450,3,2,0e:9b:90:6e:a3:53,5,477,46573,cluster1
451,3,5,de:f5:ad:55:e8:54,2,27688085,2048917531,cluster0
452,6,1,de:f5:ad:55:e8:54,4,27688085,2048917531,cluster0
453,6,4,0e:9b:90:6e:a3:53,1,477,46573,cluster1
454,000000000000000a,1,de:f5:ad:55:e8:54,2,27688085,2048917531,cluster0
455,000000000000000a,2,0e:9b:90:6e:a3:53,1,477,46573,cluster1
456,000000000000001a,1,de:f5:ad:55:e8:54,2,27688085,2048917531,cluster0
457,000000000000001a,2,0e:9b:90:6e:a3:53,1,477,46573,cluster1
458,000000000000001b,1,de:f5:ad:55:e8:54,3,27688085,2048917531,cluster0
459,000000000000001b,3,0e:9b:90:6e:a3:53,1,477,46573,cluster1
460,3,2,0e:9b:90:6e:a3:53,5,487,47593,cluster1
461,3,5,de:f5:ad:55:e8:54,2,28340430,2097191061,cluster0
462,000000000000001a,1,de:f5:ad:55:e8:54,2,28340430,2097191061,cluster0
463,000000000000001a,2,0e:9b:90:6e:a3:53,1,487,47593,cluster1
464,000000000000001b,1,de:f5:ad:55:e8:54,3,28340430,2097191061,cluster0
465,000000000000001b,3,0e:9b:90:6e:a3:53,1,487,47593,cluster1
466,6,1,de:f5:ad:55:e8:54,4,28340430,2097191061,cluster0
467,6,4,0e:9b:90:6e:a3:53,1,487,47593,cluster1
468,000000000000000a,1,de:f5:ad:55:e8:54,2,28340430,2097191061,cluster0
469,000000000000000a,2,0e:9b:90:6e:a3:53,1,487,47593,cluster1
470,000000000000000a,1,de:f5:ad:55:e8:54,2,28978150,2144382309,cluster0
471,000000000000000a,2,0e:9b:90:6e:a3:53,1,498,48655,cluster1
472,000000000000001a,1,de:f5:ad:55:e8:54,2,28978150,2144382309,cluster0
473,000000000000001a,2,0e:9b:90:6e:a3:53,1,498,48655,cluster1
474,6,1,de:f5:ad:55:e8:54,4,28978150,2144382309,cluster0
475,6,4,0e:9b:90:6e:a3:53,1,498,48655,cluster1
476,3,2,0e:9b:90:6e:a3:53,5,498,48655,cluster1
477,3,5,de:f5:ad:55:e8:54,2,28978150,2144382309,cluster0
478,000000000000001b,1,de:f5:ad:55:e8:54,3,28978150,2144382309,cluster0
479,000000000000001b,3,0e:9b:90:6e:a3:53,1,498,48655,cluster1
480,6,1,de:f5:ad:55:e8:54,4,29603013,2190622139,cluster0
481,6,4,0e:9b:90:6e:a3:53,1,509,49717,cluster1
482,000000000000001b,1,de:f5:ad:55:e8:54,3,29603013,2190622139,cluster0
483,000000000000001b,3,0e:9b:90:6e:a3:53,1,509,49717,cluster1
484,000000000000000a,1,de:f5:ad:55:e8:54,2,29603013,2190622139,cluster0
485,000000000000000a,2,0e:9b:90:6e:a3:53,1,509,49717,cluster1
486,3,2,0e:9b:90:6e:a3:53,5,509,49717,cluster1
487,3,5,de:f5:ad:55:e8:54,2,29603013,2190622139,cluster0
488,000000000000001a,1,de:f5:ad:55:e8:54,2,29603013,2190622139,cluster0
489,000000000000001a,2,0e:9b:90:6e:a3:53,1,509,49717,cluster1
490,000000000000000a,1,de:f5:ad:55:e8:54,2,30252617,2238692803,cluster0
491,000000000000000a,2,0e:9b:90:6e:a3:53,1,520,50779,cluster1
492,6,1,de:f5:ad:55:e8:54,4,30252617,2238692803,cluster0
493,6,4,0e:9b:90:6e:a3:53,1,520,50779,cluster1
494,3,2,0e:9b:90:6e:a3:53,5,520,50779,cluster1
495,3,5,de:f5:ad:55:e8:54,2,30252617,2238692803,cluster0
496,000000000000001a,1,de:f5:ad:55:e8:54,2,30252617,2238692803,cluster0
497,000000000000001a,2,0e:9b:90:6e:a3:53,1,520,50779,cluster1
498,000000000000001b,1,de:f5:ad:55:e8:54,3,30252617,2238692803,cluster0
499,000000000000001b,3,0e:9b:90:6e:a3:53,1,520,50779,cluster1
500,3,2,0e:9b:90:6e:a3:53,5,530,51799,cluster1
501,3,5,de:f5:ad:55:e8:54,2,30897540,2286417105,cluster0
502,000000000000000a,1,de:f5:ad:55:e8:54,2,30897540,2286417105,cluster0
503,000000000000000a,2,0e:9b:90:6e:a3:53,1,530,51799,cluster1
504,000000000000001b,1,de:f5:ad:55:e8:54,3,30897540,2286417105,cluster0
505,000000000000001b,3,0e:9b:90:6e:a3:53,1,530,51799,cluster1
506,6,1,de:f5:ad:55:e8:54,4,30897540,2286417105,cluster0
507,6,4,0e:9b:90:6e:a3:53,1,530,51799,cluster1
508,000000000000001a,1,de:f5:ad:55:e8:54,2,30897540,2286417105,cluster0
509,000000000000001a,2,0e:9b:90:6e:a3:53,1,530,51799,cluster1
510,000000000000001b,1,de:f5:ad:55:e8:54,3,31547762,2334533469,cluster0
511,000000000000001b,3,0e:9b:90:6e:a3:53,1,542,52903,cluster1
512,3,2,0e:9b:90:6e:a3:53,5,542,52903,cluster1
513,3,5,de:f5:ad:55:e8:54,2,31547762,2334533469,cluster0
514,000000000000001a,1,de:f5:ad:55:e8:54,2,31547762,2334533469,cluster0
515,000000000000001a,2,0e:9b:90:6e:a3:53,1,542,52903,cluster1
516,000000000000000a,1,de:f5:ad:55:e8:54,2,31547762,2334533469,cluster0
517,000000000000000a,2,0e:9b:90:6e:a3:53,1,542,52903,cluster1
518,6,1,de:f5:ad:55:e8:54,4,31547762,2334533469,cluster0
519,6,4,0e:9b:90:6e:a3:53,1,542,52903,cluster1
520,3,2,0e:9b:90:6e:a3:53,5,552,53923,cluster1
521,3,5,de:f5:ad:55:e8:54,2,32180143,2381329663,cluster0
522,000000000000000a,1,de:f5:ad:55:e8:54,2,32180143,2381329663,cluster0
523,000000000000000a,2,0e:9b:90:6e:a3:53,1,552,53923,cluster1
524,000000000000001a,1,de:f5:ad:55:e8:54,2,32180143,2381329663,cluster0
525,000000000000001a,2,0e:9b:90:6e:a3:53,1,552,53923,cluster1
526,000000000000001b,1,de:f5:ad:55:e8:54,3,32180143,2381329663,cluster0
527,000000000000001b,3,0e:9b:90:6e:a3:53,1,552,53923,cluster1
528,6,1,de:f5:ad:55:e8:54,4,32180143,2381329663,cluster0
529,6,4,0e:9b:90:6e:a3:53,1,552,53923,cluster1
530,000000000000001a,1,de:f5:ad:55:e8:54,2,32824981,2429047643,cluster0
531,000000000000001a,2,0e:9b:90:6e:a3:53,1,563,54985,cluster1
532,6,1,de:f5:ad:55:e8:54,4,32824981,2429047643,cluster0
533,6,4,0e:9b:90:6e:a3:53,1,563,54985,cluster1
534,000000000000001b,1,de:f5:ad:55:e8:54,3,32824981,2429047643,cluster0
535,000000000000001b,3,0e:9b:90:6e:a3:53,1,563,54985,cluster1
536,000000000000000a,1,de:f5:ad:55:e8:54,2,32824981,2429047643,cluster0
537,000000000000000a,2,0e:9b:90:6e:a3:53,1,563,54985,cluster1
538,3,2,0e:9b:90:6e:a3:53,5,563,54985,cluster1
539,3,5,de:f5:ad:55:e8:54,2,32824981,2429047643,cluster0
540,6,1,de:f5:ad:55:e8:54,4,33458452,2475924465,cluster0
541,6,4,0e:9b:90:6e:a3:53,1,574,56047,cluster1
542,000000000000001a,1,de:f5:ad:55:e8:54,2,33458452,2475924465,cluster0
543,000000000000001a,2,0e:9b:90:6e:a3:53,1,574,56047,cluster1
544,000000000000000a,1,de:f5:ad:55:e8:54,2,33458452,2475924465,cluster0
545,000000000000000a,2,0e:9b:90:6e:a3:53,1,574,56047,cluster1
546,000000000000001b,1,de:f5:ad:55:e8:54,3,33458452,2475924465,cluster0
547,000000000000001b,3,0e:9b:90:6e:a3:53,1,574,56047,cluster1
548,3,2,0e:9b:90:6e:a3:53,5,574,56047,cluster1
549,3,5,de:f5:ad:55:e8:54,2,33458452,2475924465,cluster0
550,3,2,0e:9b:90:6e:a3:53,5,585,57109,cluster1
551,3,5,de:f5:ad:55:e8:54,2,34107220,2523933265,cluster0
552,000000000000000a,1,de:f5:ad:55:e8:54,2,34107220,2523933265,cluster0
553,000000000000000a,2,0e:9b:90:6e:a3:53,1,585,57109,cluster1
554,000000000000001a,1,de:f5:ad:55:e8:54,2,34107220,2523933265,cluster0
555,000000000000001a,2,0e:9b:90:6e:a3:53,1,585,57109,cluster1
556,6,1,de:f5:ad:55:e8:54,4,34107220,2523933265,cluster0
557,6,4,0e:9b:90:6e:a3:53,1,585,57109,cluster1
558,000000000000001b,1,de:f5:ad:55:e8:54,3,34107220,2523933265,cluster0
559,000000000000001b,3,0e:9b:90:6e:a3:53,1,585,57109,cluster1
560,000000000000001b,1,de:f5:ad:55:e8:54,3,34735767,2570445743,cluster0
561,000000000000001b,3,0e:9b:90:6e:a3:53,1,596,58231,cluster1
562,6,1,de:f5:ad:55:e8:54,4,34735767,2570445743,cluster0
563,6,4,0e:9b:90:6e:a3:53,1,596,58231,cluster1
564,000000000000001a,1,de:f5:ad:55:e8:54,2,34735767,2570445743,cluster0
565,000000000000001a,2,0e:9b:90:6e:a3:53,1,596,58231,cluster1
566,000000000000000a,1,de:f5:ad:55:e8:54,2,34735767,2570445743,cluster0
567,000000000000000a,2,0e:9b:90:6e:a3:53,1,596,58231,cluster1
568,3,2,0e:9b:90:6e:a3:53,5,596,58231,cluster1
569,3,5,de:f5:ad:55:e8:54,2,34735767,2570445743,cluster0
570,6,1,de:f5:ad:55:e8:54,4,35372439,2617559407,cluster0
571,6,4,0e:9b:90:6e:a3:53,1,608,59335,cluster1
572,000000000000001a,1,de:f5:ad:55:e8:54,2,35372439,2617559407,cluster0
573,000000000000001a,2,0e:9b:90:6e:a3:53,1,608,59335,cluster1
574,3,2,0e:9b:90:6e:a3:53,5,608,59335,cluster1
575,3,5,de:f5:ad:55:e8:54,2,35372439,2617559407,cluster0
576,000000000000000a,1,de:f5:ad:55:e8:54,2,35372439,2617559407,cluster0
577,000000000000000a,2,0e:9b:90:6e:a3:53,1,608,59335,cluster1
578,000000000000001b,1,de:f5:ad:55:e8:54,3,35372439,2617559407,cluster0
579,000000000000001b,3,0e:9b:90:6e:a3:53,1,608,59335,cluster1
580,6,1,de:f5:ad:55:e8:54,4,36024747,2665830199,cluster0
581,6,4,0e:9b:90:6e:a3:53,1,618,60355,cluster1
582,3,2,0e:9b:90:6e:a3:53,5,618,60355,cluster1
583,3,5,de:f5:ad:55:e8:54,2,36024747,2665830199,cluster0
584,000000000000000a,1,de:f5:ad:55:e8:54,2,36024747,2665830199,cluster0
585,000000000000000a,2,0e:9b:90:6e:a3:53,1,618,60355,cluster1
586,000000000000001a,1,de:f5:ad:55:e8:54,2,36024747,2665830199,cluster0
587,000000000000001a,2,0e:9b:90:6e:a3:53,1,618,60355,cluster1
588,000000000000001b,1,de:f5:ad:55:e8:54,3,36024747,2665830199,cluster0
589,000000000000001b,3,0e:9b:90:6e:a3:53,1,618,60355,cluster1
590,000000000000001a,1,de:f5:ad:55:e8:54,2,36662631,2713033583,cluster0
591,000000000000001a,2,0e:9b:90:6e:a3:53,1,629,61417,cluster1
592,000000000000000a,1,de:f5:ad:55:e8:54,2,36662631,2713033583,cluster0
593,000000000000000a,2,0e:9b:90:6e:a3:53,1,629,61417,cluster1
594,000000000000001b,1,de:f5:ad:55:e8:54,3,36662631,2713033583,cluster0
595,000000000000001b,3,0e:9b:90:6e:a3:53,1,629,61417,cluster1
596,3,2,0e:9b:90:6e:a3:53,5,629,61417,cluster1
597,3,5,de:f5:ad:55:e8:54,2,36662631,2713033583,cluster0
598,6,1,de:f5:ad:55:e8:54,4,36662631,2713033583,cluster0
599,6,4,0e:9b:90:6e:a3:53,1,629,61417,cluster1
600,000000000000000a,1,de:f5:ad:55:e8:54,2,37287337,2759261795,cluster0
601,000000000000000a,2,0e:9b:90:6e:a3:53,1,640,62479,cluster1
602,000000000000001b,1,de:f5:ad:55:e8:54,3,37287337,2759261795,cluster0
603,000000000000001b,3,0e:9b:90:6e:a3:53,1,640,62479,cluster1
604,3,2,0e:9b:90:6e:a3:53,5,640,62479,cluster1
605,3,5,de:f5:ad:55:e8:54,2,37287337,2759261795,cluster0
606,6,1,de:f5:ad:55:e8:54,4,37287337,2759261795,cluster0
607,6,4,0e:9b:90:6e:a3:53,1,640,62479,cluster1
608,000000000000001a,1,de:f5:ad:55:e8:54,2,37287337,2759261795,cluster0
609,000000000000001a,2,0e:9b:90:6e:a3:53,1,640,62479,cluster1
610,6,1,de:f5:ad:55:e8:54,4,37935336,2807213689,cluster0
611,6,4,0e:9b:90:6e:a3:53,1,651,63541,cluster1
612,000000000000001b,1,de:f5:ad:55:e8:54,3,37935336,2807213689,cluster0
613,000000000000001b,3,0e:9b:90:6e:a3:53,1,651,63541,cluster1
614,000000000000000a,1,de:f5:ad:55:e8:54,2,37935336,2807213689,cluster0
615,000000000000000a,2,0e:9b:90:6e:a3:53,1,651,63541,cluster1
616,3,2,0e:9b:90:6e:a3:53,5,651,63541,cluster1
617,3,5,de:f5:ad:55:e8:54,2,37935336,2807213689,cluster0
618,000000000000001a,1,de:f5:ad:55:e8:54,2,37935336,2807213689,cluster0
619,000000000000001a,2,0e:9b:90:6e:a3:53,1,651,63541,cluster1
620,000000000000001b,1,de:f5:ad:55:e8:54,3,38590017,2855660083,cluster0
621,000000000000001b,3,0e:9b:90:6e:a3:53,1,661,64561,cluster1
622,000000000000000a,1,de:f5:ad:55:e8:54,2,38590017,2855660083,cluster0
623,000000000000000a,2,0e:9b:90:6e:a3:53,1,661,64561,cluster1
624,000000000000001a,1,de:f5:ad:55:e8:54,2,38590017,2855660083,cluster0
625,000000000000001a,2,0e:9b:90:6e:a3:53,1,661,64561,cluster1
626,3,2,0e:9b:90:6e:a3:53,5,661,64561,cluster1
627,3,5,de:f5:ad:55:e8:54,2,38590017,2855660083,cluster0
628,6,1,de:f5:ad:55:e8:54,4,38590017,2855660083,cluster0
629,6,4,0e:9b:90:6e:a3:53,1,661,64561,cluster1
630,3,2,0e:9b:90:6e:a3:53,5,672,65623,cluster1
631,3,5,de:f5:ad:55:e8:54,2,39234462,2903348981,cluster0
632,000000000000001a,1,de:f5:ad:55:e8:54,2,39234462,2903348981,cluster0
633,000000000000001a,2,0e:9b:90:6e:a3:53,1,672,65623,cluster1
634,000000000000001b,1,de:f5:ad:55:e8:54,3,39234462,2903348981,cluster0
635,000000000000001b,3,0e:9b:90:6e:a3:53,1,672,65623,cluster1
636,000000000000000a,1,de:f5:ad:55:e8:54,2,39234462,2903348981,cluster0
637,000000000000000a,2,0e:9b:90:6e:a3:53,1,672,65623,cluster1
638,6,1,de:f5:ad:55:e8:54,4,39234462,2903348981,cluster0
639,6,4,0e:9b:90:6e:a3:53,1,672,65623,cluster1
640,000000000000001a,1,de:f5:ad:55:e8:54,2,39868904,2950297657,cluster0
641,000000000000001a,2,0e:9b:90:6e:a3:53,1,683,66685,cluster1
642,3,2,0e:9b:90:6e:a3:53,5,683,66685,cluster1
643,3,5,de:f5:ad:55:e8:54,2,39868904,2950297657,cluster0
644,000000000000001b,1,de:f5:ad:55:e8:54,3,39868904,2950297657,cluster0
645,000000000000001b,3,0e:9b:90:6e:a3:53,1,683,66685,cluster1
646,6,1,de:f5:ad:55:e8:54,4,39868904,2950297657,cluster0
647,6,4,0e:9b:90:6e:a3:53,1,683,66685,cluster1
648,000000000000000a,1,de:f5:ad:55:e8:54,2,39868904,2950297657,cluster0
649,000000000000000a,2,0e:9b:90:6e:a3:53,1,683,66685,cluster1
650,3,2,0e:9b:90:6e:a3:53,5,693,67645,cluster1
651,3,5,de:f5:ad:55:e8:54,2,40473697,2995052307,cluster0
652,000000000000000a,1,de:f5:ad:55:e8:54,2,40505824,2997429705,cluster0
653,000000000000000a,2,0e:9b:90:6e:a3:53,1,694,67747,cluster1
654,6,1,de:f5:ad:55:e8:54,4,40473697,2995052307,cluster0
655,6,4,0e:9b:90:6e:a3:53,1,693,67645,cluster1
656,000000000000001b,1,de:f5:ad:55:e8:54,3,40505824,2997429705,cluster0
657,000000000000001b,3,0e:9b:90:6e:a3:53,1,694,67747,cluster1
658,000000000000001a,1,de:f5:ad:55:e8:54,2,40505824,2997429705,cluster0
659,000000000000001a,2,0e:9b:90:6e:a3:53,1,694,67747,cluster1
660,000000000000000a,1,de:f5:ad:55:e8:54,2,41119204,3042819825,cluster0
661,000000000000000a,2,0e:9b:90:6e:a3:53,1,703,68665,cluster1
662,000000000000001a,1,de:f5:ad:55:e8:54,2,41150723,3045152231,cluster0
663,000000000000001a,2,0e:9b:90:6e:a3:53,1,704,68767,cluster1
664,3,2,0e:9b:90:6e:a3:53,5,703,68665,cluster1
665,3,5,de:f5:ad:55:e8:54,2,41119204,3042819825,cluster0
666,6,1,de:f5:ad:55:e8:54,4,41119204,3042819825,cluster0
667,6,4,0e:9b:90:6e:a3:53,1,703,68665,cluster1
668,000000000000001b,1,de:f5:ad:55:e8:54,3,41150723,3045152231,cluster0
669,000000000000001b,3,0e:9b:90:6e:a3:53,1,704,68767,cluster1
670,6,1,de:f5:ad:55:e8:54,4,41755026,3089870589,cluster0
671,6,4,0e:9b:90:6e:a3:53,1,715,69769,cluster1
672,000000000000001a,1,de:f5:ad:55:e8:54,2,41779305,3091667235,cluster0
673,000000000000001a,2,0e:9b:90:6e:a3:53,1,716,69871,cluster1
674,000000000000001b,1,de:f5:ad:55:e8:54,3,41779305,3091667235,cluster0
675,000000000000001b,3,0e:9b:90:6e:a3:53,1,716,69871,cluster1
676,000000000000000a,1,de:f5:ad:55:e8:54,2,41755026,3089870589,cluster0
677,000000000000000a,2,0e:9b:90:6e:a3:53,1,715,69769,cluster1
678,3,2,0e:9b:90:6e:a3:53,5,715,69769,cluster1
679,3,5,de:f5:ad:55:e8:54,2,41755026,3089870589,cluster0
680,6,1,de:f5:ad:55:e8:54,4,42336146,3132873469,cluster0
681,6,4,0e:9b:90:6e:a3:53,1,725,70789,cluster1
682,000000000000001b,1,de:f5:ad:55:e8:54,3,42336146,3132873469,cluster0
683,000000000000001b,3,0e:9b:90:6e:a3:53,1,725,70789,cluster1
684,3,2,0e:9b:90:6e:a3:53,5,725,70789,cluster1
685,3,5,de:f5:ad:55:e8:54,2,42336146,3132873469,cluster0
686,000000000000000a,1,de:f5:ad:55:e8:54,2,42336146,3132873469,cluster0
687,000000000000000a,2,0e:9b:90:6e:a3:53,1,725,70789,cluster1
688,000000000000001a,1,de:f5:ad:55:e8:54,2,42336146,3132873469,cluster0
689,000000000000001a,2,0e:9b:90:6e:a3:53,1,725,70789,cluster1
690,000000000000001a,1,de:f5:ad:55:e8:54,2,42985793,3180947315,cluster0
691,000000000000001a,2,0e:9b:90:6e:a3:53,1,736,71851,cluster1
692,3,2,0e:9b:90:6e:a3:53,5,736,71851,cluster1
693,3,5,de:f5:ad:55:e8:54,2,42985793,3180947315,cluster0
694,000000000000001b,1,de:f5:ad:55:e8:54,3,42985793,3180947315,cluster0
695,000000000000001b,3,0e:9b:90:6e:a3:53,1,736,71851,cluster1
696,6,1,de:f5:ad:55:e8:54,4,42985793,3180947315,cluster0
697,6,4,0e:9b:90:6e:a3:53,1,736,71851,cluster1
698,000000000000000a,1,de:f5:ad:55:e8:54,2,42985793,3180947315,cluster0
699,000000000000000a,2,0e:9b:90:6e:a3:53,1,736,71851,cluster1
700,000000000000000a,1,de:f5:ad:55:e8:54,2,43638538,3229250413,cluster0
701,000000000000000a,2,0e:9b:90:6e:a3:53,1,747,72913,cluster1
702,000000000000001a,1,de:f5:ad:55:e8:54,2,43638538,3229250413,cluster0
703,000000000000001a,2,0e:9b:90:6e:a3:53,1,747,72913,cluster1
704,3,2,0e:9b:90:6e:a3:53,5,747,72913,cluster1
705,3,5,de:f5:ad:55:e8:54,2,43638538,3229250413,cluster0
706,6,1,de:f5:ad:55:e8:54,4,43638538,3229250413,cluster0
707,6,4,0e:9b:90:6e:a3:53,1,747,72913,cluster1
708,000000000000001b,1,de:f5:ad:55:e8:54,3,43638538,3229250413,cluster0
709,000000000000001b,3,0e:9b:90:6e:a3:53,1,747,72913,cluster1
710,6,1,de:f5:ad:55:e8:54,4,44262937,3275455939,cluster0
711,6,4,0e:9b:90:6e:a3:53,1,757,73933,cluster1
712,000000000000000a,1,de:f5:ad:55:e8:54,2,44262937,3275455939,cluster0
713,000000000000000a,2,0e:9b:90:6e:a3:53,1,757,73933,cluster1
714,000000000000001a,1,de:f5:ad:55:e8:54,2,44262937,3275455939,cluster0
