0000000000000007,       1,    1385,   83154,       0,      34,    2148,       0
0000000000000007,       2,    1382,   82974,       0,      12,     828,       0
0000000000000007,       3,      14,     948,       0,    1389,   83394,       0
0000000000000007,       4,      13,     888,       0,    1388,   83334,       0
0000000000000007,       5,      14,     948,       0,    1389,   83394,       0
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000f,       1,    1365,   81954,       0,      14,     948,       0
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000001,       1,      28,    1734,       0,    1364,   81948,       0
0000000000000001,       2,      27,    1728,       0,    1366,   82014,       0
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000c,       1,    1387,   83274,       0,      20,    1308,       0
000000000000000c,       2,      24,    1548,       0,    1370,   82254,       0
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000013,       1,    1388,   83334,       0,      13,     888,       0
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0
000000000000001a,       1,   47003,25298314,       0,     116,    7505,       0
000000000000001a,       2,     112,    7265,       0,   47002,25298254,       0
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000017,       1,    1372,   82374,       0,      10,     708,       0
0000000000000017,       2,      23,    1488,       0,    1381,   82914,       0
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000a,       1,   47012,25298854,       0,     112,    7265,       0
000000000000000a,       2,     116,    7505,       0,   47003,25298314,       0
000000000000000a,       3,      17,    1128,       0,    1376,   82614,       0
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0
000000000000000e,       1,    1370,   82254,       0,      15,    1008,       0
000000000000000e,       2,      14,     948,       0,    1365,   81954,       0
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000005,       1,    1375,   82554,       0,      32,    2028,       0
0000000000000005,       2,      31,    1968,       0,    1365,   81954,       0
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000008,       1,    1373,   82434,       0,      18,    1188,       0
0000000000000008,       2,    1365,   81954,       0,      31,    1968,       0
0000000000000008,       3,      27,    1728,       0,    1371,   82314,       0
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000015,       1,    1370,   82254,       0,      15,    1008,       0
0000000000000015,       2,      15,    1008,       0,    1366,   82014,       0
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000006,       1,   46997,25297954,       0,     136,    8705,       0
0000000000000006,       2,      12,     828,       0,    1382,   82974,       0
0000000000000006,       3,      18,    1188,       0,    1373,   82434,       0
0000000000000006,       4,     112,    7265,       0,   47012,25298854,       0
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0
000000000000001d,       1,    1375,   82554,       0,      20,    1308,       0
000000000000001d,       2,    1381,   82914,       0,      23,    1488,       0
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000002,       1,    1364,   81948,       0,      28,    1734,       0
0000000000000002,       2,      36,    2214,       0,    1366,   82068,       0
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0
0000000000000011,       1,    1374,   82494,       0,       9,     648,       0
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0
000000000000001b,       1,   47002,25298254,       0,     112,    7265,       0
000000000000001b,       2,      18,    1188,       0,    1374,   82494,       0
000000000000001b,       3,     105,    6845,       0,   47002,25298254,       0
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0
000000000000001c,       1,    1374,   82494,       0,      18,    1188,       0
