datapath;in-port;eth-dst;out-port;packets;bytes
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;246592;133648865
000000000000001b;3;ae:56:39:e0:e1:96;1;7;461
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;246592;133648865
000000000000001a;2;ae:56:39:e0:e1:96;1;7;461
6;1;f2:a9:ce:7a:1c:b9;4;246592;133648865
6;4;ae:56:39:e0:e1:96;1;8;535
3;2;ae:56:39:e0:e1:96;5;8;535
3;5;f2:a9:ce:7a:1c:b9;2;246592;133648865
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;246592;133648865
000000000000000a;2;ae:56:39:e0:e1:96;1;8;535
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;271896;147361682
000000000000001a;2;ae:56:39:e0:e1:96;1;11;678
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;271896;147361682
000000000000000a;2;ae:56:39:e0:e1:96;1;12;752
3;2;ae:56:39:e0:e1:96;5;12;752
3;5;f2:a9:ce:7a:1c:b9;2;271896;147361682
6;1;f2:a9:ce:7a:1c:b9;4;271896;147361682
6;4;ae:56:39:e0:e1:96;1;12;752
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;271896;147361682
000000000000001b;3;ae:56:39:e0:e1:96;1;11;678
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;296908;160918186
000000000000001a;2;ae:56:39:e0:e1:96;1;11;678
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;296908;160918186
000000000000001b;3;ae:56:39:e0:e1:96;1;11;678
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;296908;160918186
000000000000000a;2;ae:56:39:e0:e1:96;1;12;752
3;2;ae:56:39:e0:e1:96;5;12;752
3;5;f2:a9:ce:7a:1c:b9;2;296908;160918186
6;1;f2:a9:ce:7a:1c:b9;4;296908;160918186
6;4;ae:56:39:e0:e1:96;1;12;752
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;322548;174815066
000000000000001b;3;ae:56:39:e0:e1:96;1;11;678
6;1;f2:a9:ce:7a:1c:b9;4;322548;174815066
6;4;ae:56:39:e0:e1:96;1;12;752
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;322548;174815066
000000000000000a;2;ae:56:39:e0:e1:96;1;12;752
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;322548;174815066
000000000000001a;2;ae:56:39:e0:e1:96;1;11;678
3;2;ae:56:39:e0:e1:96;5;12;752
3;5;f2:a9:ce:7a:1c:b9;2;322548;174815066
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;348178;188706526
000000000000001a;2;ae:56:39:e0:e1:96;1;11;678
3;2;ae:56:39:e0:e1:96;5;12;752
3;5;f2:a9:ce:7a:1c:b9;2;346884;188005178
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;348178;188706526
000000000000001b;3;ae:56:39:e0:e1:96;1;11;678
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;348178;188706526
000000000000000a;2;ae:56:39:e0:e1:96;1;12;752
6;1;f2:a9:ce:7a:1c:b9;4;346884;188005178
6;4;ae:56:39:e0:e1:96;1;12;752
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;373988;202695546
000000000000001b;3;ae:56:39:e0:e1:96;1;11;678
6;1;f2:a9:ce:7a:1c:b9;4;372694;201994198
6;4;ae:56:39:e0:e1:96;1;12;752
3;2;ae:56:39:e0:e1:96;5;12;752
3;5;f2:a9:ce:7a:1c:b9;2;372694;201994198
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;373988;202695546
000000000000001a;2;ae:56:39:e0:e1:96;1;11;678
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;373988;202695546
000000000000000a;2;ae:56:39:e0:e1:96;1;12;752
3;2;ae:56:39:e0:e1:96;5;13;794
3;5;f2:a9:ce:7a:1c:b9;2;398398;215925266
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;399683;216621736
000000000000001a;2;ae:56:39:e0:e1:96;1;12;720
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;399683;216621736
000000000000001b;3;ae:56:39:e0:e1:96;1;12;720
6;1;f2:a9:ce:7a:1c:b9;4;398398;215925266
6;4;ae:56:39:e0:e1:96;1;13;794
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;398398;215925266
000000000000000a;2;ae:56:39:e0:e1:96;1;13;794
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;423715;229647080
000000000000000a;2;ae:56:39:e0:e1:96;1;13;794
3;2;ae:56:39:e0:e1:96;5;13;794
3;5;f2:a9:ce:7a:1c:b9;2;423715;229647080
6;1;f2:a9:ce:7a:1c:b9;4;423715;229647080
6;4;ae:56:39:e0:e1:96;1;13;794
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;425015;230351680
000000000000001b;3;ae:56:39:e0:e1:96;1;12;720
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;425015;230351680
000000000000001a;2;ae:56:39:e0:e1:96;1;12;720
6;1;f2:a9:ce:7a:1c:b9;4;449239;243481088
6;4;ae:56:39:e0:e1:96;1;13;794
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;449239;243481088
000000000000000a;2;ae:56:39:e0:e1:96;1;13;794
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;449239;243481088
000000000000001a;2;ae:56:39:e0:e1:96;1;12;720
3;2;ae:56:39:e0:e1:96;5;13;794
3;5;f2:a9:ce:7a:1c:b9;2;449239;243481088
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;450513;244171596
000000000000001b;3;ae:56:39:e0:e1:96;1;12;720
3;2;ae:56:39:e0:e1:96;5;13;794
3;5;f2:a9:ce:7a:1c:b9;2;474644;257250598
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;474644;257250598
000000000000000a;2;ae:56:39:e0:e1:96;1;13;794
6;1;f2:a9:ce:7a:1c:b9;4;474644;257250598
6;4;ae:56:39:e0:e1:96;1;13;794
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;474644;257250598
000000000000001b;3;ae:56:39:e0:e1:96;1;12;720
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;474644;257250598
000000000000001a;2;ae:56:39:e0:e1:96;1;12;720
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;500425;271223900
000000000000000a;2;ae:56:39:e0:e1:96;1;13;794
3;2;ae:56:39:e0:e1:96;5;13;794
3;5;f2:a9:ce:7a:1c:b9;2;500425;271223900
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;500425;271223900
000000000000001b;3;ae:56:39:e0:e1:96;1;12;720
6;1;f2:a9:ce:7a:1c:b9;4;500425;271223900
6;4;ae:56:39:e0:e1:96;1;13;794
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;500425;271223900
000000000000001a;2;ae:56:39:e0:e1:96;1;12;720
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;525847;285001649
000000000000001a;2;ae:56:39:e0:e1:96;1;15;895
6;1;f2:a9:ce:7a:1c:b9;4;525847;285001649
6;4;ae:56:39:e0:e1:96;1;16;969
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;525847;285001649
000000000000000a;2;ae:56:39:e0:e1:96;1;16;969
3;2;ae:56:39:e0:e1:96;5;16;969
3;5;f2:a9:ce:7a:1c:b9;2;525847;285001649
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;525847;285001649
000000000000001b;3;ae:56:39:e0:e1:96;1;15;895
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;551473;298890941
000000000000000a;2;ae:56:39:e0:e1:96;1;16;969
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;551473;298890941
000000000000001b;3;ae:56:39:e0:e1:96;1;15;895
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;551473;298890941
000000000000001a;2;ae:56:39:e0:e1:96;1;15;895
6;1;f2:a9:ce:7a:1c:b9;4;551473;298890941
6;4;ae:56:39:e0:e1:96;1;16;969
3;2;ae:56:39:e0:e1:96;5;16;969
3;5;f2:a9:ce:7a:1c:b9;2;551473;298890941
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;576842;312640939
000000000000001b;3;ae:56:39:e0:e1:96;1;15;895
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;576842;312640939
000000000000000a;2;ae:56:39:e0:e1:96;1;16;969
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;576842;312640939
000000000000001a;2;ae:56:39:e0:e1:96;1;15;895
3;2;ae:56:39:e0:e1:96;5;16;969
3;5;f2:a9:ce:7a:1c:b9;2;576842;312640939
6;1;f2:a9:ce:7a:1c:b9;4;576842;312640939
6;4;ae:56:39:e0:e1:96;1;16;969
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;602428;326508551
000000000000000a;2;ae:56:39:e0:e1:96;1;16;969
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;602428;326508551
000000000000001b;3;ae:56:39:e0:e1:96;1;15;895
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;602428;326508551
000000000000001a;2;ae:56:39:e0:e1:96;1;15;895
3;2;ae:56:39:e0:e1:96;5;16;969
3;5;f2:a9:ce:7a:1c:b9;2;602428;326508551
6;1;f2:a9:ce:7a:1c:b9;4;602428;326508551
6;4;ae:56:39:e0:e1:96;1;16;969
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;627134;339899203
000000000000001a;2;ae:56:39:e0:e1:96;1;15;895
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;627134;339899203
000000000000001b;3;ae:56:39:e0:e1:96;1;15;895
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;627134;339899203
000000000000000a;2;ae:56:39:e0:e1:96;1;16;969
3;2;ae:56:39:e0:e1:96;5;16;969
3;5;f2:a9:ce:7a:1c:b9;2;627134;339899203
6;1;f2:a9:ce:7a:1c:b9;4;627134;339899203
6;4;ae:56:39:e0:e1:96;1;16;969
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;652690;353750055
000000000000001b;3;ae:56:39:e0:e1:96;1;16;937
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;652690;353750055
000000000000001a;2;ae:56:39:e0:e1:96;1;16;937
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;652690;353750055
000000000000000a;2;ae:56:39:e0:e1:96;1;17;1011
6;1;f2:a9:ce:7a:1c:b9;4;652690;353750055
6;4;ae:56:39:e0:e1:96;1;17;1011
3;2;ae:56:39:e0:e1:96;5;17;1011
3;5;f2:a9:ce:7a:1c:b9;2;652690;353750055
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;678481;367728777
000000000000001b;3;ae:56:39:e0:e1:96;1;16;937
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;678481;367728777
000000000000000a;2;ae:56:39:e0:e1:96;1;17;1011
6;1;f2:a9:ce:7a:1c:b9;4;678481;367728777
6;4;ae:56:39:e0:e1:96;1;17;1011
3;2;ae:56:39:e0:e1:96;5;17;1011
3;5;f2:a9:ce:7a:1c:b9;2;678481;367728777
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;678481;367728777
000000000000001a;2;ae:56:39:e0:e1:96;1;16;937
000000000000001b;1;f2:a9:ce:7a:1c:b9;3;704291;381717797
000000000000001b;3;ae:56:39:e0:e1:96;1;16;937
000000000000001a;1;f2:a9:ce:7a:1c:b9;2;704291;381717797
000000000000001a;2;ae:56:39:e0:e1:96;1;16;937
3;2;ae:56:39:e0:e1:96;5;17;1011
3;5;f2:a9:ce:7a:1c:b9;2;704291;381717797
6;1;f2:a9:ce:7a:1c:b9;4;704291;381717797
6;4;ae:56:39:e0:e1:96;1;17;1011
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;704291;381717797
000000000000000a;2;ae:56:39:e0:e1:96;1;17;1011
3;2;ae:56:39:e0:e1:96;5;17;1011
3;5;f2:a9:ce:7a:1c:b9;2;729680;395478635
6;1;f2:a9:ce:7a:1c:b9;4;729680;395478635
6;4;ae:56:39:e0:e1:96;1;17;1011
000000000000000a;1;f2:a9:ce:7a:1c:b9;2;729680;395478635
000000000000000a;2;ae:56:39:e0:e1:96;1;17;1011
