datapath;in-port;eth-dst;out-port;packets;bytes
6;1;de:f5:ad:55:e8:54;4;5347520;395716553
6;4;0e:9b:90:6e:a3:53;1;101;9781
000000000000001a;1;de:f5:ad:55:e8:54;2;5347520;395716553
000000000000001a;2;0e:9b:90:6e:a3:53;1;101;9781
000000000000001b;1;de:f5:ad:55:e8:54;3;5347520;395716553
000000000000001b;3;0e:9b:90:6e:a3:53;1;101;9781
000000000000001a;1;de:f5:ad:55:e8:54;2;5990604;443304737
000000000000001a;2;0e:9b:90:6e:a3:53;1;112;10843
6;1;de:f5:ad:55:e8:54;4;5990604;443304737
6;4;0e:9b:90:6e:a3:53;1;112;10843
3;2;0e:9b:90:6e:a3:53;5;112;10843
3;5;de:f5:ad:55:e8:54;2;5990604;443304737
000000000000001b;1;de:f5:ad:55:e8:54;3;5990604;443304737
000000000000001b;3;0e:9b:90:6e:a3:53;1;112;10843
000000000000000a;1;de:f5:ad:55:e8:54;2;5990604;443304737
000000000000000a;2;0e:9b:90:6e:a3:53;1;112;10843
000000000000001b;1;de:f5:ad:55:e8:54;3;6631441;490726675
000000000000001b;3;0e:9b:90:6e:a3:53;1;122;11863
000000000000000a;1;de:f5:ad:55:e8:54;2;6631441;490726675
000000000000000a;2;0e:9b:90:6e:a3:53;1;122;11863
000000000000001a;1;de:f5:ad:55:e8:54;2;6631441;490726675
000000000000001a;2;0e:9b:90:6e:a3:53;1;122;11863
3;2;0e:9b:90:6e:a3:53;5;122;11863
3;5;de:f5:ad:55:e8:54;2;6631441;490726675
6;1;de:f5:ad:55:e8:54;4;6631441;490726675
6;4;0e:9b:90:6e:a3:53;1;122;11863
000000000000001a;1;de:f5:ad:55:e8:54;2;7266608;537729001
000000000000001a;2;0e:9b:90:6e:a3:53;1;133;12925
000000000000000a;1;de:f5:ad:55:e8:54;2;7266608;537729001
000000000000000a;2;0e:9b:90:6e:a3:53;1;133;12925
3;2;0e:9b:90:6e:a3:53;5;133;12925
3;5;de:f5:ad:55:e8:54;2;7266608;537729001
000000000000001b;1;de:f5:ad:55:e8:54;3;7266608;537729001
000000000000001b;3;0e:9b:90:6e:a3:53;1;133;12925
6;1;de:f5:ad:55:e8:54;4;7266608;537729001
6;4;0e:9b:90:6e:a3:53;1;133;12925
3;2;0e:9b:90:6e:a3:53;5;144;13987
3;5;de:f5:ad:55:e8:54;2;7896824;584364953
000000000000001a;1;de:f5:ad:55:e8:54;2;7896824;584364953
000000000000001a;2;0e:9b:90:6e:a3:53;1;144;13987
000000000000000a;1;de:f5:ad:55:e8:54;2;7896824;584364953
000000000000000a;2;0e:9b:90:6e:a3:53;1;144;13987
000000000000001b;1;de:f5:ad:55:e8:54;3;7896824;584364953
000000000000001b;3;0e:9b:90:6e:a3:53;1;144;13987
6;1;de:f5:ad:55:e8:54;4;7896824;584364953
6;4;0e:9b:90:6e:a3:53;1;144;13987
000000000000000a;1;de:f5:ad:55:e8:54;2;8547389;632506763
000000000000000a;2;0e:9b:90:6e:a3:53;1;154;15007
6;1;de:f5:ad:55:e8:54;4;8547389;632506763
6;4;0e:9b:90:6e:a3:53;1;154;15007
000000000000001b;1;de:f5:ad:55:e8:54;3;8547389;632506763
000000000000001b;3;0e:9b:90:6e:a3:53;1;154;15007
3;2;0e:9b:90:6e:a3:53;5;154;15007
3;5;de:f5:ad:55:e8:54;2;8547389;632506763
000000000000001a;1;de:f5:ad:55:e8:54;2;8547389;632506763
000000000000001a;2;0e:9b:90:6e:a3:53;1;154;15007
6;1;de:f5:ad:55:e8:54;4;9196782;680561813
6;4;0e:9b:90:6e:a3:53;1;165;16069
000000000000000a;1;de:f5:ad:55:e8:54;2;9196782;680561813
000000000000000a;2;0e:9b:90:6e:a3:53;1;165;16069
3;2;0e:9b:90:6e:a3:53;5;165;16069
3;5;de:f5:ad:55:e8:54;2;9196782;680561813
000000000000001a;1;de:f5:ad:55:e8:54;2;9196782;680561813
000000000000001a;2;0e:9b:90:6e:a3:53;1;165;16069
000000000000001b;1;de:f5:ad:55:e8:54;3;9196782;680561813
000000000000001b;3;0e:9b:90:6e:a3:53;1;165;16069
6;1;de:f5:ad:55:e8:54;4;9838150;728023013
6;4;0e:9b:90:6e:a3:53;1;176;17131
000000000000001b;1;de:f5:ad:55:e8:54;3;9838150;728023013
000000000000001b;3;0e:9b:90:6e:a3:53;1;176;17131
000000000000000a;1;de:f5:ad:55:e8:54;2;9838150;728023013
000000000000000a;2;0e:9b:90:6e:a3:53;1;176;17131
000000000000001a;1;de:f5:ad:55:e8:54;2;9838150;728023013
000000000000001a;2;0e:9b:90:6e:a3:53;1;176;17131
3;2;0e:9b:90:6e:a3:53;5;176;17131
3;5;de:f5:ad:55:e8:54;2;9838150;728023013
000000000000001b;1;de:f5:ad:55:e8:54;3;10453270;773541861
000000000000001b;3;0e:9b:90:6e:a3:53;1;187;18193
3;2;0e:9b:90:6e:a3:53;5;187;18193
3;5;de:f5:ad:55:e8:54;2;10453270;773541861
000000000000001a;1;de:f5:ad:55:e8:54;2;10453270;773541861
000000000000001a;2;0e:9b:90:6e:a3:53;1;187;18193
000000000000000a;1;de:f5:ad:55:e8:54;2;10453270;773541861
000000000000000a;2;0e:9b:90:6e:a3:53;1;187;18193
6;1;de:f5:ad:55:e8:54;4;10453270;773541861
6;4;0e:9b:90:6e:a3:53;1;187;18193
000000000000001a;1;de:f5:ad:55:e8:54;2;11101639;821521167
000000000000001a;2;0e:9b:90:6e:a3:53;1;197;19213
6;1;de:f5:ad:55:e8:54;4;11069845;819168411
6;4;0e:9b:90:6e:a3:53;1;197;19213
3;2;0e:9b:90:6e:a3:53;5;197;19213
3;5;de:f5:ad:55:e8:54;2;11069845;819168411
000000000000000a;1;de:f5:ad:55:e8:54;2;11101639;821521167
000000000000000a;2;0e:9b:90:6e:a3:53;1;197;19213
000000000000001b;1;de:f5:ad:55:e8:54;3;11101639;821521167
000000000000001b;3;0e:9b:90:6e:a3:53;1;197;19213
6;1;de:f5:ad:55:e8:54;4;11715279;866930495
6;4;0e:9b:90:6e:a3:53;1;208;20275
000000000000001b;1;de:f5:ad:55:e8:54;3;11746080;869209769
000000000000001b;3;0e:9b:90:6e:a3:53;1;208;20275
000000000000001a;1;de:f5:ad:55:e8:54;2;11746080;869209769
000000000000001a;2;0e:9b:90:6e:a3:53;1;208;20275
3;2;0e:9b:90:6e:a3:53;5;208;20275
3;5;de:f5:ad:55:e8:54;2;11715279;866930495
000000000000000a;1;de:f5:ad:55:e8:54;2;11715279;866930495
000000000000000a;2;0e:9b:90:6e:a3:53;1;208;20275
000000000000000a;1;de:f5:ad:55:e8:54;2;12368446;915264821
000000000000000a;2;0e:9b:90:6e:a3:53;1;219;21337
000000000000001a;1;de:f5:ad:55:e8:54;2;12398516;917490001
000000000000001a;2;0e:9b:90:6e:a3:53;1;219;21337
3;2;0e:9b:90:6e:a3:53;5;219;21337
3;5;de:f5:ad:55:e8:54;2;12368446;915264821
6;1;de:f5:ad:55:e8:54;4;12368446;915264821
6;4;0e:9b:90:6e:a3:53;1;219;21337
000000000000001b;1;de:f5:ad:55:e8:54;3;12398516;917490001
000000000000001b;3;0e:9b:90:6e:a3:53;1;219;21337
000000000000001a;1;de:f5:ad:55:e8:54;2;13030125;964229067
000000000000001a;2;0e:9b:90:6e:a3:53;1;229;22357
3;2;0e:9b:90:6e:a3:53;5;229;22357
3;5;de:f5:ad:55:e8:54;2;13002120;962156697
6;1;de:f5:ad:55:e8:54;4;13002120;962156697
6;4;0e:9b:90:6e:a3:53;1;229;22357
000000000000001b;1;de:f5:ad:55:e8:54;3;13030125;964229067
000000000000001b;3;0e:9b:90:6e:a3:53;1;229;22357
