datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,910000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,964000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   66824,44969930,47,907000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,47,971000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,914000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,941000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   66824,44969930,47,910000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,47,949000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,911000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,956000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   66824,44969930,47,918000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,47,936000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,90000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,135000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   78661,52939984,58,67000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,58,106000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      13,     878,58,76000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   78661,52939984,58,71000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,75000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,93000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,79000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,106000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   78661,52939984,58,100000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,58,164000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   78661,52939984,58,103000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,58,157000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,26000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,53000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,18000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,36000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,19000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,64000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      13,     878,68,38000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,   90572,60963546,68,33000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,   90572,60963546,68,16000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,68,80000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,   90572,60963546,68,22000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,68,61000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,   90572,60963546,68,19000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,68,73000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  105133,70765108,78,167000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,78,212000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  105133,70765108,78,170000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      13,     878,78,209000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  105133,70765108,78,174000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,78,192000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      13,     878,78,182000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  105133,70765108,78,177000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  105133,70765108,78,159000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      13,     878,78,223000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  105133,70765108,78,163000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,78,217000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  105133,70765108,78,173000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      13,     878,78,200000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      14,     920,88,123000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  119527,80462256,88,118000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  119527,80462256,88,100000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      14,     920,88,164000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  119527,80462256,88,125000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,88,170000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  119527,80462256,88,121000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,88,175000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  119527,80462256,88,128000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      14,     920,88,167000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  119527,80462256,88,136000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,88,154000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  119527,80462256,88,132000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,88,159000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  138242,93064686,98,128000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,98,146000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      14,     920,98,132000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  138242,93064686,98,127000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  138242,93064686,98,115000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,98,160000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  138242,93064686,98,120000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      14,     920,98,159000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  138242,93064686,98,122000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,98,149000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  138242,93064686,98,115000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      14,     920,98,169000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  138242,93064686,98,112000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      14,     920,98,176000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  153700,103471571,108,120000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      17,    1095,108,159000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      17,    1095,108,135000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  153700,103471571,108,130000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  153700,103471571,108,116000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,108,161000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  153700,103471571,108,123000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,108,150000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  153700,103471571,108,127000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,108,145000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  153700,103471571,108,113000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      17,    1095,108,177000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  153700,103471571,108,116000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,108,170000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  168128,113180947,118,199000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      17,    1095,118,263000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  168128,113180947,118,206000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,118,233000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      17,    1095,118,213000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  168128,113180947,118,208000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  168128,113180947,118,203000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,118,248000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  168128,113180947,118,205000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,118,223000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  168128,113180947,118,197000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      17,    1095,118,236000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  168128,113180947,118,203000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,118,257000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      17,    1095,128,453000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  179096,120566103,128,448000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  179096,120566103,128,474000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,128,501000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  179096,120566103,128,446000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      17,    1095,128,510000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  179096,120566103,128,479000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,128,497000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  179096,120566103,128,489000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      17,    1095,128,528000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  179096,120566103,128,435000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,128,489000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  179096,120566103,128,654000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,128,699000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  192506,129596423,138,433000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,138,487000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  192506,129596423,138,437000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      17,    1095,138,476000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  192506,129596423,138,430000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      17,    1095,138,494000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      17,    1095,138,453000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  192506,129596423,138,448000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  192506,129596423,138,441000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      17,    1095,138,468000000,0x0000
