sep=,
datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,       8,     592,0,346000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      17,    1258,1,525000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,       4,     296,7,170000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      22,    1628,0,69000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      10,     740,0,446000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      20,    1480,17,511000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      10,     740,0,322000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      26,    1924,27,711000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      42,    3108,4,816000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,      26,    1924,3,937000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      32,    2368,37,476000000,0x0000
0000000000000003,       2,4a:f2:58:d3:b3:07,       6,       0,       0,7,512000000,0x0000
0000000000000003,       6,1a:e6:06:d3:9e:cd,       2,  141217,10450058,0,0,0x0000
0000000000000003,       2,4a:f2:58:d3:b3:07,       6,       0,       0,17,450000000,0x0000
0000000000000003,       6,1a:e6:06:d3:9e:cd,       2,  379664,28095136,0,0,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      32,    2368,47,781000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     154,   11396,14,238000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     170,   12580,15,121000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      32,    2368,57,661000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     294,   21756,25,2000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     278,   20572,24,125000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      32,    2368,67,751000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     465,   34410,35,91000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     449,   33226,34,212000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      32,    2368,77,866000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     571,   42254,44,325000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     587,   43438,45,207000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      24,    1776,0,85000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     165,   12210,0,77000000,0x0000
000000000000001d,       1,1a:e6:06:d3:9e:cd,       1,       6,     444,0,186000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,      16,    1184,0,186000000,0x0000
