datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
0000000000000015,       2,      47,   15228,       0,       5,     300,       0,838,255000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,838,259000000
0000000000000007,       1,      44,   14766,       0,       9,     540,       0,839,628000000
0000000000000007,       2,      46,   15450,       0,       9,     540,       0,839,628000000
0000000000000007,       3,      47,   15792,       0,       8,     480,       0,839,645000000
0000000000000007,       4,      46,   15450,       0,       9,     540,       0,839,630000000
0000000000000007,       5,      49,   15066,       0,       1,      60,       0,839,649000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,839,631000000
0000000000000009,       1,      54,   15366,       0,       4,     240,       0,849,568000000
0000000000000009,       2,      50,   16536,       0,      11,     660,       0,849,568000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,849,553000000
0000000000000019,       1,      48,   15288,       0,      11,     660,       0,847,761000000
0000000000000019,       2,      60,   16572,       0,       2,     120,       0,847,761000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,847,631000000
0000000000000012,       1,      58,   16170,       0,       1,      60,       0,848,913000000
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0,848,875000000
0000000000000006,       1,      55,   16272,       0,      17,    1020,       0,849,718000000
0000000000000006,       2,      64,   17940,       0,       1,      60,       0,849,719000000
0000000000000006,       3,      51,   15750,       0,      17,    1020,       0,849,719000000
0000000000000006,       4,      49,   15630,       0,      17,    1020,       0,849,702000000
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0,849,703000000
0000000000000016,       1,      50,   14280,       0,       3,     180,       0,848,230000000
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0,848,214000000
0000000000000017,       1,      59,   16512,       0,       1,      60,       0,848,137000000
0000000000000017,       2,      52,   15810,       0,      18,    1080,       0,848,136000000
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0,848,140000000
000000000000000f,       1,      60,   16572,       0,       1,      60,       0,849,288000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,849,262000000
0000000000000010,       1,      53,   15024,       0,       5,     300,       0,849,112000000
0000000000000010,       2,      52,   16656,       0,       9,     540,       0,849,144000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,849,116000000
0000000000000008,       1,      64,   17094,       0,       6,     360,       0,849,601000000
0000000000000008,       2,      51,   16032,       0,      14,     840,       0,849,601000000
0000000000000008,       3,      48,   15288,       0,      11,     660,       0,849,600000000
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0,849,581000000
000000000000001d,       1,      59,   16230,       0,       3,     180,       0,845,972000000
000000000000001d,       2,      64,   16812,       0,       7,     420,       0,845,971000000
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0,845,955000000
0000000000000018,       1,      47,   15792,       0,      13,     780,       0,848,65000000
0000000000000018,       2,      55,   15708,       0,       4,     240,       0,847,870000000
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0,847,874000000
0000000000000011,       1,      54,   15930,       0,       4,     240,       0,849,0
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,849,3000000
000000000000001a,       1,      53,   14178,       0,       1,      60,       0,847,390000000
000000000000001a,       2,      49,   16194,       0,      13,     780,       0,847,395000000
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0,846,168000000
0000000000000005,       1,      61,   17196,       0,       2,     120,       0,849,728000000
0000000000000005,       2,      59,   16230,       0,       5,     300,       0,849,743000000
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0,849,728000000
000000000000000d,       1,      56,   15486,       0,       4,     240,       0,849,359000000
000000000000000d,       2,      49,   15348,       0,      11,     660,       0,849,379000000
000000000000000d,       3,      50,   16254,       0,      12,     720,       0,849,360000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,849,361000000
000000000000001b,       1,      56,   15486,       0,       2,     120,       0,846,76000000
000000000000001b,       2,      47,   15228,       0,      11,     660,       0,846,92000000
000000000000001b,       3,       0,       0,       0,      12,     720,       0,846,93000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,846,79000000
000000000000000a,       1,      63,   16752,       0,       4,     240,       0,849,531000000
000000000000000a,       2,      49,   16476,       0,      14,     840,       0,849,530000000
000000000000000a,       3,      46,   15168,       0,      14,     840,       0,849,530000000
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0,849,511000000
0000000000000003,       1,      52,   16374,       0,      17,    1020,       0,850,12000000
0000000000000003,       2,      59,   15384,       0,       9,     540,       0,850,14000000
0000000000000003,       3,      57,   15546,       0,       3,     180,       0,850,13000000
0000000000000003,       4,      52,   15528,       0,      18,    1080,       0,850,12000000
0000000000000003,       5,       0,       0,       0,      19,    1140,       0,850,12000000
0000000000000003,       6,       0,       0,       0,      19,    1140,       0,850,12000000
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0,850,15000000
000000000000000e,       1,      55,   15426,       0,       3,     180,       0,849,339000000
000000000000000e,       2,      48,   16134,       0,      14,     840,       0,849,339000000
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0,849,322000000
0000000000000014,       1,      44,   14766,       0,      11,     660,       0,848,653000000
0000000000000014,fffffffe,       0,       0,       0,       0,       0,       0,848,366000000
000000000000000c,       1,      58,   15888,       0,       5,     300,       0,849,427000000
000000000000000c,       2,      45,   14262,       0,      13,     780,       0,849,427000000
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0,849,404000000
0000000000000007,       1,      44,   14766,       0,      14,     840,       0,849,626000000
0000000000000007,       2,      46,   15450,       0,      14,     840,       0,849,626000000
0000000000000007,       3,      47,   15792,       0,      13,     780,       0,849,643000000
0000000000000007,       4,      46,   15450,       0,      14,     840,       0,849,628000000
0000000000000007,       5,      54,   15366,       0,       1,      60,       0,849,647000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,849,629000000
0000000000000004,       1,      46,   14886,       0,      14,     840,       0,849,763000000
0000000000000004,       2,      61,   16914,       0,       1,      60,       0,849,996000000
0000000000000004,       3,      48,   15852,       0,      14,     840,       0,849,764000000
0000000000000004,fffffffe,       0,       0,       0,       0,       0,       0,849,765000000
000000000000001c,       1,      51,   14340,       0,       3,     180,       0,846,5000000
000000000000001c,       2,      44,   14202,       0,      14,     840,       0,846,35000000
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0,846,9000000
0000000000000002,       1,      50,   15972,       0,       9,     540,       0,850,181000000
0000000000000002,       2,      62,   16410,       0,       5,     300,       0,850,159000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,850,160000000
0000000000000013,       1,      58,   15888,       0,       1,      60,       0,848,811000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,848,771000000
000000000000000b,       1,      48,   15006,       0,      11,     660,       0,849,490000000
000000000000000b,       2,      62,   16128,       0,       8,     480,       0,849,490000000
000000000000000b,       3,      49,   15348,       0,      14,     840,       0,849,490000000
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0,849,451000000
0000000000000015,       1,      59,   17076,       0,       2,     120,       0,848,254000000
0000000000000015,       2,      47,   15228,       0,      10,     600,       0,848,253000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,848,257000000
0000000000000001,       1,      54,   15930,       0,       4,     240,       0,850,304000000
0000000000000001,       2,      58,   16734,       0,       5,     300,       0,850,195000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,850,196000000
0000000000000001,       1,      59,   16230,       0,       4,     240,       0,860,306000000
0000000000000001,       2,      63,   17034,       0,       5,     300,       0,860,197000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,860,198000000
0000000000000002,       1,      50,   15972,       0,      14,     840,       0,860,185000000
0000000000000002,       2,      67,   16710,       0,       5,     300,       0,860,163000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,860,164000000
0000000000000003,       1,      52,   16374,       0,      22,    1320,       0,860,16000000
0000000000000003,       2,      64,   15684,       0,       9,     540,       0,860,18000000
0000000000000003,       3,      61,   15786,       0,       3,     180,       0,860,17000000
0000000000000003,       4,      52,   15528,       0,      23,    1380,       0,860,16000000
0000000000000003,       5,       0,       0,       0,      24,    1440,       0,860,16000000
0000000000000003,       6,       0,       0,       0,      24,    1440,       0,860,16000000
0000000000000003,fffffffe,       0,       0,       0,       0,       0,       0,860,19000000
0000000000000018,       1,      47,   15792,       0,      18,    1080,       0,858,71000000
0000000000000018,       2,      60,   16008,       0,       4,     240,       0,857,876000000
0000000000000018,fffffffe,       0,       0,       0,       0,       0,       0,857,880000000
0000000000000007,       1,      44,   14766,       0,      19,    1140,       0,859,632000000
0000000000000007,       2,      46,   15450,       0,      19,    1140,       0,859,632000000
0000000000000007,       3,      47,   15792,       0,      18,    1080,       0,859,649000000
0000000000000007,       4,      46,   15450,       0,      19,    1140,       0,859,634000000
0000000000000007,       5,      59,   15666,       0,       1,      60,       0,859,653000000
0000000000000007,fffffffe,       0,       0,       0,       0,       0,       0,859,635000000
0000000000000014,       1,      44,   14766,       0,      16,     960,       0,858,659000000
0000000000000014,fffffffe,       0,       0,       0,       0,       0,       0,858,372000000
0000000000000010,       1,      58,   15324,       0,       5,     300,       0,859,118000000
0000000000000010,       2,      52,   16656,       0,      14,     840,       0,859,150000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,859,122000000
0000000000000017,       1,      64,   16812,       0,       1,      60,       0,858,143000000
0000000000000017,       2,      52,   15810,       0,      23,    1380,       0,858,142000000
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0,858,146000000
000000000000000d,       1,      61,   15786,       0,       4,     240,       0,859,365000000
000000000000000d,       2,      49,   15348,       0,      16,     960,       0,859,385000000
000000000000000d,       3,      50,   16254,       0,      17,    1020,       0,859,366000000
000000000000000d,fffffffe,       0,       0,       0,       0,       0,       0,859,367000000
0000000000000005,       1,      66,   17496,       0,       2,     120,       0,859,734000000
0000000000000005,       2,      64,   16530,       0,       5,     300,       0,859,749000000
0000000000000005,fffffffe,       0,       0,       0,       0,       0,       0,859,734000000
000000000000000c,       1,      63,   16188,       0,       5,     300,       0,859,433000000
000000000000000c,       2,      45,   14262,       0,      18,    1080,       0,859,433000000
000000000000000c,fffffffe,       0,       0,       0,       0,       0,       0,859,410000000
0000000000000009,       1,      59,   15666,       0,       4,     240,       0,859,574000000
0000000000000009,       2,      50,   16536,       0,      16,     960,       0,859,574000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,859,559000000
0000000000000008,       1,      69,   17394,       0,       6,     360,       0,859,607000000
0000000000000008,       2,      51,   16032,       0,      19,    1140,       0,859,607000000
0000000000000008,       3,      48,   15288,       0,      16,     960,       0,859,606000000
0000000000000008,fffffffe,       0,       0,       0,       0,       0,       0,859,587000000
0000000000000019,       1,      48,   15288,       0,      16,     960,       0,857,767000000
0000000000000019,       2,      65,   16872,       0,       2,     120,       0,857,767000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,857,637000000
0000000000000012,       1,      63,   16470,       0,       1,      60,       0,858,919000000
0000000000000012,fffffffe,       0,       0,       0,       0,       0,       0,858,881000000
0000000000000013,       1,      63,   16188,       0,       1,      60,       0,858,817000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,858,777000000
000000000000001c,       1,      56,   14640,       0,       3,     180,       0,856,11000000
000000000000001c,       2,      44,   14202,       0,      19,    1140,       0,856,41000000
000000000000001c,fffffffe,       0,       0,       0,       0,       0,       0,856,15000000
000000000000000b,       1,      48,   15006,       0,      16,     960,       0,859,494000000
000000000000000b,       2,      67,   16428,       0,       8,     480,       0,859,494000000
000000000000000b,       3,      49,   15348,       0,      19,    1140,       0,859,494000000
000000000000000b,fffffffe,       0,       0,       0,       0,       0,       0,859,455000000
000000000000001b,       1,      61,   15786,       0,       2,     120,       0,856,82000000
000000000000001b,       2,      47,   15228,       0,      16,     960,       0,856,98000000
000000000000001b,       3,       0,       0,       0,      17,    1020,       0,856,99000000
000000000000001b,fffffffe,       0,       0,       0,       0,       0,       0,856,85000000
000000000000000a,       1,      68,   17052,       0,       4,     240,       0,859,537000000
000000000000000a,       2,      49,   16476,       0,      19,    1140,       0,859,536000000
000000000000000a,       3,      46,   15168,       0,      19,    1140,       0,859,536000000
000000000000000a,fffffffe,       0,       0,       0,       0,       0,       0,859,517000000
000000000000000e,       1,      60,   15726,       0,       3,     180,       0,859,345000000
000000000000000e,       2,      48,   16134,       0,      19,    1140,       0,859,345000000
000000000000000e,fffffffe,       0,       0,       0,       0,       0,       0,859,328000000
0000000000000011,       1,      59,   16230,       0,       4,     240,       0,859,6000000
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,859,9000000
000000000000001a,       1,      58,   14478,       0,       1,      60,       0,857,396000000
000000000000001a,       2,      49,   16194,       0,      18,    1080,       0,857,401000000
000000000000001a,fffffffe,       0,       0,       0,       0,       0,       0,856,174000000
0000000000000016,       1,      55,   14580,       0,       3,     180,       0,858,234000000
0000000000000016,fffffffe,       0,       0,       0,       0,       0,       0,858,218000000
000000000000001d,       1,      64,   16530,       0,       3,     180,       0,855,978000000
000000000000001d,       2,      69,   17112,       0,       7,     420,       0,855,977000000
000000000000001d,fffffffe,       0,       0,       0,       0,       0,       0,855,961000000
0000000000000006,       1,      55,   16272,       0,      22,    1320,       0,859,722000000
0000000000000006,       2,      69,   18240,       0,       1,      60,       0,859,723000000
0000000000000006,       3,      51,   15750,       0,      22,    1320,       0,859,723000000
0000000000000006,       4,      49,   15630,       0,      22,    1320,       0,859,706000000
0000000000000006,fffffffe,       0,       0,       0,       0,       0,       0,859,707000000
000000000000000f,       1,      65,   16872,       0,       1,      60,       0,859,292000000
000000000000000f,fffffffe,       0,       0,       0,       0,       0,       0,859,266000000
0000000000000015,       1,      64,   17376,       0,       2,     120,       0,858,260000000
0000000000000015,       2,      47,   15228,       0,      15,     900,       0,858,259000000
0000000000000015,fffffffe,       0,       0,       0,       0,       0,       0,858,263000000
0000000000000004,       1,      46,   14886,       0,      18,    1080,       0,859,767000000
0000000000000004,       2,      66,   17214,       0,       1,      60,       0,860,0
0000000000000004,       3,      48,   15852,       0,      18,    1080,       0,859,768000000
0000000000000004,fffffffe,       0,       0,       0,       0,       0,       0,859,769000000
0000000000000002,       1,      50,   15972,       0,      19,    1140,       0,870,189000000
0000000000000002,       2,      73,   17070,       0,       6,     360,       0,870,167000000
0000000000000002,fffffffe,       0,       0,       0,       0,       0,       0,870,168000000
0000000000000001,       1,      64,   16530,       0,       4,     240,       0,870,311000000
0000000000000001,       2,      68,   17334,       0,       5,     300,       0,870,202000000
0000000000000001,fffffffe,       0,       0,       0,       0,       0,       0,870,203000000
0000000000000011,       1,      64,   16530,       0,       4,     240,       0,869,12000000
0000000000000011,fffffffe,       0,       0,       0,       0,       0,       0,869,15000000
0000000000000019,       1,      50,   15408,       0,      23,    1380,       0,867,773000000
0000000000000019,       2,      72,   17292,       0,       4,     240,       0,867,773000000
0000000000000019,fffffffe,       0,       0,       0,       0,       0,       0,867,643000000
0000000000000009,       1,      66,   16086,       0,       6,     360,       0,869,580000000
0000000000000009,       2,      51,   16596,       0,      22,    1320,       0,869,580000000
0000000000000009,fffffffe,       0,       0,       0,       0,       0,       0,869,565000000
0000000000000004,       1,      49,   15066,       0,      26,    1560,       0,869,773000000
0000000000000004,       2,      73,   17634,       0,       3,     180,       0,870,6000000
0000000000000004,       3,      48,   15852,       0,      23,    1380,       0,869,774000000
0000000000000004,fffffffe,       0,       0,       0,       0,       0,       0,869,775000000
0000000000000017,       1,      70,   17172,       0,       2,     120,       0,868,149000000
0000000000000017,       2,      52,   15810,       0,      28,    1680,       0,868,148000000
0000000000000017,fffffffe,       0,       0,       0,       0,       0,       0,868,152000000
0000000000000013,       1,      68,   16488,       0,       1,      60,       0,868,823000000
0000000000000013,fffffffe,       0,       0,       0,       0,       0,       0,868,783000000
0000000000000010,       1,      64,   15684,       0,       6,     360,       0,869,124000000
0000000000000010,       2,      52,   16656,       0,      19,    1140,       0,869,156000000
0000000000000010,fffffffe,       0,       0,       0,       0,       0,       0,869,128000000
000000000000000b,       1,      48,   15006,       0,      21,    1260,       0,869,500000000
000000000000000b,       2,      74,   16848,       0,      10,     600,       0,869,500000000
