datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
0000000000000005,       1,     245,   57264,       0,       2,     120,       0,1009,859000000
0000000000000005,       2,     244,   56640,       0,       5,     300,       0,1009,874000000
0000000000000005,fffffffe,       0,       0,       0,     104,   35268,       0,1009,859000000
000000000000000f,       1,     243,   56298,       0,       1,      60,       0,1009,417000000
000000000000000f,fffffffe,       0,       0,       0,     102,   34584,       0,1009,391000000
0000000000000013,       1,     242,   55956,       0,       1,      60,       0,1008,946000000
0000000000000013,fffffffe,       0,       0,       0,     103,   34926,       0,1008,906000000
0000000000000014,       1,     156,   51360,       0,      95,    5700,       0,1008,788000000
0000000000000014,fffffffe,       0,       0,       0,     105,   35610,       0,1008,501000000
0000000000000004,       1,   51620,34699120,       0,     174,   28586,       0,1009,889000000
0000000000000004,       2,     220,   44036,       0,   51579,34685662,       0,1010,122000000
0000000000000004,       3,      52,   17220,       0,     193,   39480,       0,1009,890000000
0000000000000004,fffffffe,       0,       0,       0,     104,   35268,       0,1009,891000000
000000000000000b,       1,      52,   16374,       0,     191,   39360,       0,1009,619000000
000000000000000b,       2,     227,   48852,       0,      33,    8184,       0,1009,619000000
000000000000000b,       3,      70,   21684,       0,     183,   34932,       0,1009,619000000
000000000000000b,fffffffe,       0,       0,       0,     104,   35268,       0,1009,580000000
000000000000000c,       1,     230,   51006,       0,      23,    5610,       0,1009,558000000
000000000000000c,       2,      62,   19512,       0,     183,   35496,       0,1009,558000000
000000000000000c,fffffffe,       0,       0,       0,     103,   34926,       0,1009,535000000
0000000000000009,       1,     236,   54186,       0,      11,    2070,       0,1009,699000000
0000000000000009,       2,      56,   18306,       0,     191,   39078,       0,1009,699000000
0000000000000009,fffffffe,       0,       0,       0,     104,   35268,       0,1009,684000000
0000000000000003,       1,      63,   19854,       0,     192,   37728,       0,1010,138000000
0000000000000003,       2,     244,   55794,       0,       9,     540,       0,1010,140000000
0000000000000003,       3,     221,   44660,       0,   51573,34683046,       0,1010,139000000
0000000000000003,       4,      80,   24258,       0,     180,   32778,       0,1010,138000000
0000000000000003,       5,   51519,34670248,       0,     215,   42044,       0,1010,138000000
0000000000000003,       6,       0,       0,       0,     203,   41208,       0,1010,138000000
0000000000000003,fffffffe,       0,       0,       0,     104,   35268,       0,1010,141000000
000000000000001b,       1,   51777,34729798,       0,      20,    2144,       0,1006,211000000
000000000000001b,       2,      51,   16314,       0,     192,   39420,       0,1006,227000000
000000000000001b,       3,      13,     878,       0,   51734,34715938,       0,1006,228000000
000000000000001b,fffffffe,       0,       0,       0,     103,   34926,       0,1006,214000000
000000000000000e,       1,     236,   54186,       0,       7,    1266,       0,1009,470000000
000000000000000e,       2,      51,   17160,       0,     194,   39540,       0,1009,470000000
000000000000000e,fffffffe,       0,       0,       0,     103,   34926,       0,1009,453000000
0000000000000002,       1,      55,   17682,       0,     221,   48774,       0,1020,297000000
0000000000000002,       2,     275,   64704,       0,      11,    2070,       0,1020,275000000
0000000000000002,fffffffe,       0,       0,       0,     132,   44844,       0,1020,276000000
0000000000000003,       1,      64,   20196,       0,     226,   47946,       0,1020,135000000
0000000000000003,       2,     279,   66354,       0,       9,     540,       0,1020,137000000
0000000000000003,       3,     250,   52868,       0,   68244,45907728,       0,1020,136000000
0000000000000003,       4,      86,   26310,       0,     209,   41286,       0,1020,135000000
0000000000000003,       5,   68183,45892536,       0,     251,   52646,       0,1020,135000000
0000000000000003,       6,       0,       0,       0,     238,   51768,       0,1020,135000000
0000000000000003,fffffffe,       0,       0,       0,     134,   45528,       0,1020,138000000
0000000000000001,       1,     270,   65532,       0,       4,     240,       0,1020,427000000
0000000000000001,       2,     276,   67020,       0,       5,     300,       0,1020,318000000
0000000000000001,fffffffe,       0,       0,       0,     130,   44160,       0,1020,319000000
000000000000000b,       1,      53,   16716,       0,     225,   49578,       0,1019,608000000
000000000000000b,       2,     257,   57702,       0,      38,    9894,       0,1019,608000000
000000000000000b,       3,      74,   23052,       0,     214,   44124,       0,1019,608000000
000000000000000b,fffffffe,       0,       0,       0,     134,   45528,       0,1019,569000000
0000000000000010,       1,     270,   64686,       0,       9,    1386,       0,1019,244000000
0000000000000010,       2,      55,   17682,       0,     225,   50142,       0,1019,276000000
0000000000000010,fffffffe,       0,       0,       0,     134,   45528,       0,1019,248000000
0000000000000016,       1,     270,   65250,       0,       3,     180,       0,1018,360000000
0000000000000016,fffffffe,       0,       0,       0,     135,   45870,       0,1018,344000000
000000000000001a,       1,   68471,45960772,       0,      28,    4580,       0,1017,522000000
000000000000001a,       2,      75,   20654,       0,   68430,45947314,       0,1017,527000000
000000000000001a,fffffffe,       0,       0,       0,     135,   45870,       0,1016,300000000
000000000000001b,       1,   68476,45963046,       0,      25,    3554,       0,1016,208000000
000000000000001b,       2,      55,   17682,       0,     225,   49296,       0,1016,224000000
000000000000001b,       3,      14,     920,       0,   68437,45950554,       0,1016,225000000
000000000000001b,fffffffe,       0,       0,       0,     135,   45870,       0,1016,211000000
000000000000000c,       1,     262,   60540,       0,      26,    6636,       0,1019,556000000
000000000000000c,       2,      65,   20538,       0,     215,   45030,       0,1019,556000000
000000000000000c,fffffffe,       0,       0,       0,     133,   45186,       0,1019,533000000
0000000000000007,       1,   68300,45927444,       0,     193,   33092,       0,1019,751000000
0000000000000007,       2,     128,   38498,       0,   68367,45922722,       0,1019,751000000
0000000000000007,       3,      51,   17160,       0,     228,   50040,       0,1019,768000000
0000000000000007,       4,      51,   17160,       0,     228,   49758,       0,1019,753000000
0000000000000007,       5,     146,   21732,       0,     137,   44862,       0,1019,772000000
0000000000000007,fffffffe,       0,       0,       0,     134,   45528,       0,1019,754000000
0000000000000005,       1,     281,   68166,       0,       2,     120,       0,1019,853000000
0000000000000005,       2,     278,   66858,       0,       5,     300,       0,1019,868000000
0000000000000005,fffffffe,       0,       0,       0,     135,   45870,       0,1019,853000000
000000000000000e,       1,     272,   65088,       0,       7,    1266,       0,1019,468000000
000000000000000e,       2,      51,   17160,       0,     230,   50442,       0,1019,468000000
000000000000000e,fffffffe,       0,       0,       0,     134,   45528,       0,1019,451000000
000000000000001d,       1,     278,   66858,       0,       3,     180,       0,1016,104000000
000000000000001d,       2,     288,   69150,       0,       7,     420,       0,1016,103000000
000000000000001d,fffffffe,       0,       0,       0,     134,   45528,       0,1016,87000000
0000000000000015,       1,     277,   67080,       0,       6,    1206,       0,1018,386000000
0000000000000015,       2,      50,   16254,       0,     227,   50544,       0,1018,385000000
0000000000000015,fffffffe,       0,       0,       0,     135,   45870,       0,1018,389000000
0000000000000006,       1,      60,   17982,       0,     232,   50280,       0,1019,841000000
0000000000000006,       2,   68423,45941874,       0,      78,   21398,       0,1019,842000000
0000000000000006,       3,      76,   23454,       0,     218,   44646,       0,1019,842000000
0000000000000006,       4,      99,   27734,       0,   68403,45934188,       0,1019,825000000
0000000000000006,fffffffe,       0,       0,       0,     135,   45870,       0,1019,826000000
0000000000000014,       1,     183,   60594,       0,     100,    6000,       0,1018,785000000
0000000000000014,fffffffe,       0,       0,       0,     134,   45528,       0,1018,498000000
0000000000000019,       1,      59,   18486,       0,     224,   48672,       0,1017,893000000
0000000000000019,       2,     274,   64644,       0,      14,    3378,       0,1017,893000000
0000000000000019,fffffffe,       0,       0,       0,     135,   45870,       0,1017,763000000
0000000000000013,       1,     276,   66174,       0,       1,      60,       0,1018,943000000
0000000000000013,fffffffe,       0,       0,       0,     133,   45186,       0,1018,903000000
000000000000000a,       1,   68459,45954540,       0,      50,   10976,       0,1019,660000000
000000000000000a,       2,      81,   22706,       0,   68422,45943014,       0,1019,659000000
000000000000000a,       3,      62,   19794,       0,     224,   47544,       0,1019,659000000
000000000000000a,fffffffe,       0,       0,       0,     135,   45870,       0,1019,640000000
000000000000001c,       1,     268,   64002,       0,       7,    1266,       0,1016,137000000
000000000000001c,       2,      47,   15228,       0,     230,   50442,       0,1016,167000000
000000000000001c,fffffffe,       0,       0,       0,     134,   45528,       0,1016,141000000
0000000000000012,       1,     276,   66456,       0,       1,      60,       0,1019,45000000
0000000000000012,fffffffe,       0,       0,       0,     133,   45186,       0,1019,7000000
0000000000000017,       1,     281,   67884,       0,       4,     804,       0,1018,269000000
0000000000000017,       2,      54,   16494,       0,     239,   52392,       0,1018,268000000
0000000000000017,fffffffe,       0,       0,       0,     138,   46896,       0,1018,272000000
0000000000000004,       1,   68292,45924144,       0,     203,   36794,       0,1019,886000000
0000000000000004,       2,     246,   51218,       0,   68252,45911028,       0,1020,119000000
0000000000000004,       3,      53,   17562,       0,     228,   50040,       0,1019,887000000
0000000000000004,fffffffe,       0,       0,       0,     135,   45870,       0,1019,888000000
0000000000000008,       1,     270,   62430,       0,      25,    6012,       0,1019,726000000
0000000000000008,       2,      56,   17742,       0,     228,   49758,       0,1019,726000000
0000000000000008,       3,      61,   19170,       0,     221,   47646,       0,1019,725000000
0000000000000008,fffffffe,       0,       0,       0,     134,   45528,       0,1019,706000000
0000000000000009,       1,     269,   64062,       0,      13,    2754,       0,1019,697000000
0000000000000009,       2,      58,   18990,       0,     225,   49296,       0,1019,697000000
0000000000000009,fffffffe,       0,       0,       0,     135,   45870,       0,1019,682000000
0000000000000018,       1,      54,   17904,       0,     230,   50442,       0,1018,197000000
0000000000000018,       2,     273,   65430,       0,      12,    2412,       0,1018,2000000
0000000000000018,fffffffe,       0,       0,       0,     137,   46554,       0,1018,6000000
000000000000000d,       1,     263,   61446,       0,      20,    5148,       0,1019,488000000
000000000000000d,       2,      57,   17802,       0,     224,   48954,       0,1019,508000000
000000000000000d,       3,      58,   18708,       0,     225,   49014,       0,1019,489000000
000000000000000d,fffffffe,       0,       0,       0,     134,   45528,       0,1019,490000000
0000000000000011,       1,     275,   67242,       0,       4,     240,       0,1019,132000000
0000000000000011,fffffffe,       0,       0,       0,     136,   46212,       0,1019,135000000
000000000000000f,       1,     279,   67200,       0,       1,      60,       0,1019,418000000
000000000000000f,fffffffe,       0,       0,       0,     134,   45528,       0,1019,392000000
0000000000000011,       1,     300,   74382,       0,       4,     240,       0,1029,318000000
0000000000000011,fffffffe,       0,       0,       0,     155,   52710,       0,1029,321000000
000000000000000e,       1,     298,   72570,       0,       8,    1608,       0,1029,650000000
000000000000000e,       2,      52,   17502,       0,     255,   57582,       0,1029,650000000
000000000000000e,fffffffe,       0,       0,       0,     155,   52710,       0,1029,633000000
000000000000000f,       1,     305,   74682,       0,       1,      60,       0,1029,597000000
000000000000000f,fffffffe,       0,       0,       0,     155,   52710,       0,1029,571000000
0000000000000008,       1,     297,   70254,       0,      28,    7038,       0,1029,901000000
0000000000000008,       2,      56,   17742,       0,     254,   57240,       0,1029,901000000
0000000000000008,       3,      64,   20196,       0,     244,   54102,       0,1029,900000000
0000000000000008,fffffffe,       0,       0,       0,     155,   52710,       0,1029,881000000
0000000000000013,       1,     305,   74964,       0,       1,      60,       0,1029,129000000
0000000000000013,fffffffe,       0,       0,       0,     156,   53052,       0,1029,89000000
000000000000000a,       1,   79702,53516436,       0,      57,   13370,       0,1029,842000000
000000000000000a,       2,      86,   24416,       0,   79664,53504850,       0,1029,841000000
000000000000000a,       3,      65,   20820,       0,     248,   54624,       0,1029,841000000
000000000000000a,fffffffe,       0,       0,       0,     157,   53394,       0,1029,822000000
000000000000000c,       1,     285,   66996,       0,      29,    7662,       0,1029,738000000
000000000000000c,       2,      68,   21564,       0,     239,   51828,       0,1029,738000000
000000000000000c,fffffffe,       0,       0,       0,     155,   52710,       0,1029,715000000
000000000000000b,       1,      54,   17058,       0,     251,   57060,       0,1029,799000000
000000000000000b,       2,     279,   64098,       0,      43,   11604,       0,1029,799000000
000000000000000b,       3,      78,   24420,       0,     237,   50580,       0,1029,799000000
000000000000000b,fffffffe,       0,       0,       0,     156,   53052,       0,1029,760000000
0000000000000002,       1,      58,   18708,       0,     246,   55914,       0,1030,452000000
0000000000000002,       2,     300,   72126,       0,      13,    2754,       0,1030,430000000
0000000000000002,fffffffe,       0,       0,       0,     154,   52368,       0,1030,431000000
0000000000000006,       1,      62,   18666,       0,     259,   58104,       0,1029,998000000
0000000000000006,       2,   79645,53493470,       0,      91,   25844,       0,1029,999000000
0000000000000006,       3,      79,   24480,       0,     244,   52128,       0,1029,999000000
0000000000000006,       4,     107,   30470,       0,   79628,53486528,       0,1029,982000000
0000000000000006,fffffffe,       0,       0,       0,     159,   54078,       0,1029,983000000
0000000000000003,       1,      67,   21222,       0,     250,   55026,       0,1030,292000000
0000000000000003,       2,     306,   74178,       0,       9,     540,       0,1030,294000000
0000000000000003,       3,     271,   58640,       0,   79456,53457032,       0,1030,293000000
0000000000000003,       4,      92,   28362,       0,     231,   47682,       0,1030,292000000
0000000000000003,       5,   79387,53439104,       0,     278,   60752,       0,1030,292000000
0000000000000003,       6,       0,       0,       0,     265,   59874,       0,1030,292000000
0000000000000003,fffffffe,       0,       0,       0,     157,   53394,       0,1030,295000000
0000000000000001,       1,     295,   72672,       0,       4,     240,       0,1030,568000000
0000000000000001,       2,     303,   74844,       0,       5,     300,       0,1030,459000000
0000000000000001,fffffffe,       0,       0,       0,     151,   51342,       0,1030,460000000
0000000000000009,       1,     293,   70860,       0,      15,    3438,       0,1029,868000000
0000000000000009,       2,      60,   19674,       0,     247,   55410,       0,1029,868000000
0000000000000009,fffffffe,       0,       0,       0,     154,   52368,       0,1029,853000000
0000000000000004,       1,   79505,53473790,       0,     223,   42224,       0,1030,43000000
0000000000000004,       2,     265,   56588,       0,   79465,53460674,       0,1030,276000000
0000000000000004,       3,      54,   17904,       0,     257,   58548,       0,1030,44000000
0000000000000004,fffffffe,       0,       0,       0,     159,   54078,       0,1030,45000000
0000000000000007,       1,   79520,53480684,       0,     212,   38462,       0,1029,916000000
0000000000000007,       2,     143,   43628,       0,   79594,53477228,       0,1029,916000000
0000000000000007,       3,      52,   17502,       0,     256,   58488,       0,1029,933000000
0000000000000007,       4,      52,   17502,       0,     256,   58206,       0,1029,918000000
0000000000000007,       5,     152,   22374,       0,     161,   53070,       0,1029,937000000
0000000000000007,fffffffe,       0,       0,       0,     159,   54078,       0,1029,919000000
0000000000000012,       1,     305,   75246,       0,       1,      60,       0,1029,231000000
0000000000000012,fffffffe,       0,       0,       0,     156,   53052,       0,1029,193000000
0000000000000015,       1,     299,   73194,       0,       7,    1548,       0,1028,572000000
0000000000000015,       2,      51,   16596,       0,     248,   56316,       0,1028,571000000
0000000000000015,fffffffe,       0,       0,       0,     152,   51684,       0,1028,575000000
0000000000000014,       1,     208,   69144,       0,     105,    6300,       0,1028,971000000
0000000000000014,fffffffe,       0,       0,       0,     157,   53394,       0,1028,684000000
0000000000000005,       1,     312,   77358,       0,       2,     120,       0,1030,10000000
0000000000000005,       2,     305,   74682,       0,       5,     300,       0,1030,25000000
0000000000000005,fffffffe,       0,       0,       0,     159,   54078,       0,1030,10000000
0000000000000016,       1,     292,   71364,       0,       3,     180,       0,1028,553000000
0000000000000016,fffffffe,       0,       0,       0,     152,   51684,       0,1028,537000000
0000000000000010,       1,     295,   71826,       0,      10,    1728,       0,1029,430000000
0000000000000010,       2,      56,   18024,       0,     250,   57282,       0,1029,462000000
0000000000000010,fffffffe,       0,       0,       0,     155,   52710,       0,1029,434000000
000000000000000d,       1,     288,   68586,       0,      22,    5832,       0,1029,670000000
000000000000000d,       2,      58,   18144,       0,     249,   56094,       0,1029,690000000
000000000000000d,       3,      59,   19050,       0,     250,   56154,       0,1029,671000000
000000000000000d,fffffffe,       0,       0,       0,     155,   52710,       0,1029,672000000
0000000000000019,       1,      62,   19512,       0,     248,   55470,       0,1028,86000000
0000000000000019,       2,     298,   71724,       0,      17,    4404,       0,1028,86000000
0000000000000019,fffffffe,       0,       0,       0,     157,   53394,       0,1027,956000000
000000000000001b,       1,   79724,53527452,       0,      27,    4238,       0,1026,401000000
000000000000001b,       2,      57,   18366,       0,     248,   55752,       0,1026,417000000
000000000000001b,       3,      14,     920,       0,   79687,53515644,       0,1026,418000000
000000000000001b,fffffffe,       0,       0,       0,     155,   52710,       0,1026,404000000
000000000000001d,       1,     303,   73998,       0,       3,     180,       0,1026,297000000
000000000000001d,       2,     314,   76632,       0,       7,     420,       0,1026,296000000
000000000000001d,fffffffe,       0,       0,       0,     153,   52026,       0,1026,280000000
0000000000000017,       1,     306,   75024,       0,       5,    1146,       0,1028,462000000
0000000000000017,       2,      55,   16836,       0,     264,   59532,       0,1028,461000000
0000000000000017,fffffffe,       0,       0,       0,     159,   54078,       0,1028,465000000
0000000000000018,       1,      56,   18588,       0,     255,   57582,       0,1028,390000000
0000000000000018,       2,     299,   72912,       0,      14,    3096,       0,1028,195000000
0000000000000018,fffffffe,       0,       0,       0,     159,   54078,       0,1028,199000000
000000000000001c,       1,     292,   70800,       0,       8,    1608,       0,1026,330000000
000000000000001c,       2,      48,   15570,       0,     254,   57240,       0,1026,360000000
000000000000001c,fffffffe,       0,       0,       0,     154,   52368,       0,1026,334000000
000000000000001a,       1,   79719,53525460,       0,      32,    5948,       0,1027,715000000
000000000000001a,       2,      79,   22022,       0,   79678,53511720,       0,1027,720000000
000000000000001a,fffffffe,       0,       0,       0,     157,   53394,       0,1026,493000000
000000000000000f,       1,     357,   91056,       0,       1,      60,       0,1039,523000000
000000000000000f,fffffffe,       0,       0,       0,     202,   68784,       0,1039,497000000
0000000000000007,       1,   92009,61880722,       0,     242,   47312,       0,1039,863000000
0000000000000007,       2,     163,   50468,       0,   92090,61878250,       0,1039,863000000
0000000000000007,       3,      52,   17502,       0,     305,   73836,       0,1039,880000000
0000000000000007,       4,      53,   17844,       0,     304,   73212,       0,1039,865000000
0000000000000007,       5,     158,   23016,       0,     204,   67776,       0,1039,884000000
0000000000000007,fffffffe,       0,       0,       0,     203,   69126,       0,1039,866000000
000000000000000c,       1,     331,   81318,       0,      34,    9372,       0,1039,664000000
000000000000000c,       2,      73,   23274,       0,     285,   66150,       0,1039,664000000
000000000000000c,fffffffe,       0,       0,       0,     201,   68442,       0,1039,641000000
0000000000000011,       1,     351,   90414,       0,       4,     240,       0,1039,237000000
0000000000000011,fffffffe,       0,       0,       0,     202,   68784,       0,1039,240000000
0000000000000013,       1,     354,   90312,       0,       1,      60,       0,1039,35000000
0000000000000013,fffffffe,       0,       0,       0,     202,   68784,       0,1038,995000000
0000000000000004,       1,   91978,61866156,       0,     258,   52784,       0,1039,986000000
0000000000000004,       2,     297,   66122,       0,   91941,61854066,       0,1040,219000000
0000000000000004,       3,      56,   18588,       0,     303,   72870,       0,1039,987000000
0000000000000004,fffffffe,       0,       0,       0,     203,   69126,       0,1039,988000000
0000000000000010,       1,     345,   87516,       0,      11,    2070,       0,1039,349000000
0000000000000010,       2,      57,   18366,       0,     300,   72972,       0,1039,381000000
0000000000000010,fffffffe,       0,       0,       0,     201,   68442,       0,1039,353000000
000000000000000b,       1,      55,   17400,       0,     301,   72750,       0,1039,725000000
000000000000000b,       2,     322,   77394,       0,      50,   13998,       0,1039,725000000
000000000000000b,       3,      84,   26472,       0,     282,   64560,       0,1039,725000000
000000000000000b,fffffffe,       0,       0,       0,     202,   68784,       0,1039,686000000
0000000000000017,       1,     356,   90714,       0,       6,    1488,       0,1038,352000000
0000000000000017,       2,      56,   17178,       0,     314,   75222,       0,1038,351000000
0000000000000017,fffffffe,       0,       0,       0,     205,   69810,       0,1038,355000000
000000000000000d,       1,     334,   82908,       0,      26,    7200,       0,1039,596000000
000000000000000d,       2,      60,   18828,       0,     298,   71442,       0,1039,616000000
000000000000000d,       3,      61,   19734,       0,     299,   71502,       0,1039,597000000
000000000000000d,fffffffe,       0,       0,       0,     201,   68442,       0,1039,598000000
0000000000000014,       1,     252,   84192,       0,     110,    6600,       0,1038,874000000
0000000000000014,fffffffe,       0,       0,       0,     203,   69126,       0,1038,587000000
0000000000000005,       1,     360,   92364,       0,       2,     120,       0,1039,965000000
0000000000000005,       2,     356,   90714,       0,       5,     300,       0,1039,980000000
0000000000000005,fffffffe,       0,       0,       0,     203,   69126,       0,1039,965000000
000000000000000a,       1,   92194,61912690,       0,      65,   16106,       0,1039,768000000
000000000000000a,       2,      90,   25784,       0,   92162,61903156,       0,1039,767000000
000000000000000a,       3,      68,   21846,       0,     293,   68604,       0,1039,767000000
000000000000000a,fffffffe,       0,       0,       0,     201,   68442,       0,1039,748000000
0000000000000001,       1,     347,   89046,       0,       4,     240,       0,1040,536000000
0000000000000001,       2,     354,   90876,       0,       5,     300,       0,1040,427000000
0000000000000001,fffffffe,       0,       0,       0,     198,   67416,       0,1040,428000000
0000000000000015,       1,     352,   89910,       0,       8,    1890,       0,1038,491000000
0000000000000015,       2,      52,   16938,       0,     301,   73032,       0,1038,490000000
0000000000000015,fffffffe,       0,       0,       0,     201,   68442,       0,1038,494000000
0000000000000012,       1,     355,   90936,       0,       1,      60,       0,1039,127000000
0000000000000012,fffffffe,       0,       0,       0,     203,   69126,       0,1039,89000000
0000000000000003,       1,      71,   22590,       0,     296,   69348,       0,1040,247000000
0000000000000003,       2,     355,   89526,       0,       9,     540,       0,1040,249000000
0000000000000003,       3,     309,   70226,       0,   91944,61857928,       0,1040,248000000
0000000000000003,       4,      99,   30756,       0,     273,   60636,       0,1040,247000000
0000000000000003,       5,   91863,61835896,       0,     328,   76442,       0,1040,247000000
0000000000000003,       6,       0,       0,       0,     315,   75564,       0,1040,247000000
0000000000000003,fffffffe,       0,       0,       0,     202,   68784,       0,1040,250000000
0000000000000008,       1,     341,   83892,       0,      31,    8064,       0,1039,838000000
0000000000000008,       2,      57,   18084,       0,     304,   72930,       0,1039,838000000
0000000000000008,       3,      66,   20880,       0,     293,   69450,       0,1039,837000000
0000000000000008,fffffffe,       0,       0,       0,     201,   68442,       0,1039,818000000
0000000000000002,       1,      59,   19050,       0,     295,   71262,       0,1040,416000000
0000000000000002,       2,     348,   87132,       0,      15,    3438,       0,1040,394000000
0000000000000002,fffffffe,       0,       0,       0,     200,   68100,       0,1040,395000000
000000000000000e,       1,     348,   88260,       0,       9,    1950,       0,1039,576000000
000000000000000e,       2,      53,   17844,       0,     306,   73614,       0,1039,576000000
000000000000000e,fffffffe,       0,       0,       0,     202,   68784,       0,1039,559000000
0000000000000009,       1,     343,   86550,       0,      16,    3780,       0,1039,793000000
0000000000000009,       2,      61,   20016,       0,     299,   71784,       0,1039,793000000
0000000000000009,fffffffe,       0,       0,       0,     202,   68784,       0,1039,778000000
000000000000001b,       1,   92218,61923190,       0,      28,    4580,       0,1036,317000000
000000000000001b,       2,      58,   18708,       0,     295,   70416,       0,1036,333000000
000000000000001b,       3,      14,     920,       0,   92182,61911724,       0,1036,334000000
000000000000001b,fffffffe,       0,       0,       0,     198,   67416,       0,1036,320000000
0000000000000006,       1,      64,   19350,       0,     305,   72426,       0,1039,953000000
0000000000000006,       2,   92151,61899712,       0,     109,   32000,       0,1039,954000000
0000000000000006,       3,      85,   26532,       0,     286,   65082,       0,1039,954000000
0000000000000006,       4,     117,   33890,       0,   92145,61896532,       0,1039,937000000
0000000000000006,fffffffe,       0,       0,       0,     202,   68784,       0,1039,938000000
0000000000000016,       1,     346,   88422,       0,       3,     180,       0,1038,465000000
0000000000000016,fffffffe,       0,       0,       0,     201,   68442,       0,1038,449000000
000000000000001c,       1,     339,   85464,       0,       9,    1950,       0,1036,246000000
000000000000001c,       2,      49,   15912,       0,     301,   71904,       0,1036,276000000
000000000000001c,fffffffe,       0,       0,       0,     197,   67074,       0,1036,250000000
000000000000001a,       1,   92211,61920514,       0,      34,    6632,       0,1037,631000000
000000000000001a,       2,      81,   22706,       0,   92171,61907116,       0,1037,636000000
000000000000001a,fffffffe,       0,       0,       0,     200,   68100,       0,1036,409000000
0000000000000018,       1,      58,   19272,       0,     304,   72930,       0,1038,306000000
0000000000000018,       2,     347,   87918,       0,      16,    3780,       0,1038,111000000
0000000000000018,fffffffe,       0,       0,       0,     205,   69810,       0,1038,115000000
000000000000001d,       1,     351,   89004,       0,       3,     180,       0,1036,213000000
000000000000001d,       2,     364,   92322,       0,       7,     420,       0,1036,212000000
000000000000001d,fffffffe,       0,       0,       0,     197,   67074,       0,1036,196000000
0000000000000019,       1,      64,   20196,       0,     295,   70134,       0,1038,2000000
0000000000000019,       2,     344,   86046,       0,      19,    5088,       0,1038,2000000
0000000000000019,fffffffe,       0,       0,       0,     201,   68442,       0,1037,872000000
000000000000001c,       1,     372,   95340,       0,      10,    2292,       0,1046,317000000
000000000000001c,       2,      50,   16254,       0,     334,   81780,       0,1046,347000000
000000000000001c,fffffffe,       0,       0,       0,     226,   76992,       0,1046,321000000
000000000000000e,       1,     381,   98136,       0,       9,    1950,       0,1049,643000000
000000000000000e,       2,      54,   18186,       0,     339,   83490,       0,1049,643000000
000000000000000e,fffffffe,       0,       0,       0,     230,   78360,       0,1049,626000000
0000000000000010,       1,     376,   96708,       0,      12,    2412,       0,1049,415000000
0000000000000010,       2,      59,   19050,       0,     331,   82164,       0,1049,447000000
0000000000000010,fffffffe,       0,       0,       0,     228,   77676,       0,1049,419000000
0000000000000017,       1,     387,   99906,       0,       7,    1830,       0,1048,450000000
0000000000000017,       2,      57,   17520,       0,     345,   84414,       0,1048,449000000
0000000000000017,fffffffe,       0,       0,       0,     232,   79044,       0,1048,453000000
000000000000000a,       1,  106455,71503842,       0,      70,   17816,       0,1049,916000000
000000000000000a,       2,      93,   26810,       0,  106425,71494992,       0,1049,915000000
000000000000000a,       3,      70,   22530,       0,     327,   78822,       0,1049,915000000
000000000000000a,fffffffe,       0,       0,       0,     232,   79044,       0,1049,896000000
0000000000000006,       1,      65,   19692,       0,     340,   82986,       0,1050,101000000
0000000000000006,       2,  106405,71495370,       0,     123,   36788,       0,1050,102000000
0000000000000006,       3,      91,   28584,       0,     316,   73932,       0,1050,102000000
0000000000000006,       4,     124,   36284,       0,  106405,71494242,       0,1050,85000000
0000000000000006,fffffffe,       0,       0,       0,     233,   79386,       0,1050,86000000
0000000000000001,       1,     382,   99606,       0,       4,     240,       0,1050,682000000
0000000000000001,       2,     390,  101778,       0,       5,     300,       0,1050,573000000
0000000000000001,fffffffe,       0,       0,       0,     227,   77334,       0,1050,574000000
0000000000000004,       1,  106235,71460150,       0,     283,   59924,       0,1050,142000000
0000000000000004,       2,     321,   72920,       0,  106198,71448060,       0,1050,375000000
0000000000000004,       3,      57,   18930,       0,     339,   83772,       0,1050,143000000
0000000000000004,fffffffe,       0,       0,       0,     235,   80070,       0,1050,144000000
000000000000000d,       1,     363,   91416,       0,      30,    8568,       0,1049,744000000
000000000000000d,       2,      64,   20196,       0,     327,   79950,       0,1049,764000000
000000000000000d,       3,      63,   20418,       0,     330,   80694,       0,1049,745000000
000000000000000d,fffffffe,       0,       0,       0,     228,   77676,       0,1049,746000000
0000000000000008,       1,     372,   93084,       0,      37,   10116,       0,1049,986000000
0000000000000008,       2,      59,   18768,       0,     339,   83490,       0,1049,986000000
0000000000000008,       3,      70,   22248,       0,     326,   79326,       0,1049,985000000
0000000000000008,fffffffe,       0,       0,       0,     233,   79386,       0,1049,966000000
0000000000000003,       1,      73,   23274,       0,     332,   80250,       0,1050,391000000
0000000000000003,       2,     391,  100428,       0,       9,     540,       0,1050,393000000
0000000000000003,       3,     334,   77366,       0,  106184,71442708,       0,1050,392000000
0000000000000003,       4,     110,   34518,       0,     300,   68460,       0,1050,391000000
0000000000000003,       5,  106090,71416230,       0,     366,   88028,       0,1050,391000000
0000000000000003,       6,       0,       0,       0,     353,   87150,       0,1050,391000000
0000000000000003,fffffffe,       0,       0,       0,     235,   80070,       0,1050,394000000
000000000000000b,       1,      57,   18084,       0,     334,   82626,       0,1049,873000000
000000000000000b,       2,     349,   85218,       0,      60,   17418,       0,1049,873000000
